"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Annotations derived over miRTarBase (Gene Ontology)","interleukin-6-mediated signaling pathway GO0070102","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","interleukin-6 receptor binding GO0005138","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","interleukin-6 receptor complex GO0005896","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","mRNA N6-methyladenosine dioxygenase activity GO1990931","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-4732-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","methionine biosynthetic process GO0009086","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","methionine metabolic process GO0006555","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","methylenetetrahydrofolate reductase NADPH activity GO0004489","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","mitochondrial fission GO0000266","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","mitochondrial membrane organization GO0007006","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of inflammatory response to wounding GO0106015","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of protein export from nucleus GO0046826","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-4730; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","neural precursor cell proliferation GO0061351","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","neural tube formation GO0001841","depleted","0.0151515","0.0151515","0.456712","2","hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","neuroepithelial cell differentiation GO0060563","depleted","0.0151515","0.0151515","0.456712","2","hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","noradrenergic neuron differentiation GO0003357","depleted","0.0151515","0.0151515","0.456712","2","hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","oligosaccharide metabolic process GO0009311","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-4732-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","oxidative RNA demethylase activity GO0035515","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-4732-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","oxidative single-stranded RNA demethylation GO0035553","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-4732-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","phospholipid translocation GO0045332","depleted","0.0151515","0.0151515","0.456712","2","hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of DNA-templated transcription initiation GO2000144","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of N-terminal peptidyl-lysine acetylation GO2000761","depleted","0.0151515","0.0151515","0.456712","2","hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of activation of Janus kinase activity GO0010536","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of anterograde synaptic vesicle transport GO1903744","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of chemokine C-X-C motif ligand 2 production GO2000343","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of gamma-delta T cell differentiation GO0045588","depleted","0.0151515","0.0151515","0.456712","2","hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of hepatocyte proliferation GO2000347","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of metanephric cap mesenchymal cell proliferation GO0090096","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of monocyte chemotaxis GO0090026","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","pro-B cell differentiation GO0002328","depleted","0.0151515","0.0151515","0.456712","2","hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","protein-DNA complex disassembly GO0032986","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","protein serinethreoninetyrosine kinase activity GO0004712","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-4732-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of CD8-positive, alpha-beta T cell proliferation GO2000564","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of MyD88-dependent toll-like receptor signaling pathway GO0034124","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of cellular respiration GO0043457","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of histone methylation GO0031060","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway GO1901028","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of multicellular organism growth GO0040014","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of somatic stem cell population maintenance GO1904672","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","sensory perception GO0007600","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-4732-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","sialylation GO0097503","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","spinal cord motor neuron differentiation GO0021522","depleted","0.0151515","0.0151515","0.456712","2","hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","subtelomeric heterochromatin formation GO0031509","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","surfactant homeostasis GO0043129","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","tubulin-tyrosine ligase activity GO0004835","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","type II interferon-mediated signaling pathway GO0060333","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","vacuolar proton-transporting V-type ATPase, V1 domain GO0000221","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","vascular endothelial growth factor production GO0010573","enriched","0.0151515","0.0151515","0.456712","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","AK2","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","ALKBH5","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-4732-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","ARHGEF39","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","ARRB1","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","BAZ2B","depleted","0.0151515","0.0151515","0.384805","2","hsa-miR-4276; hsa-miR-6746-5p"
"Target genes (miRTarBase)","BORCS5","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","CDK4","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","CENPBD1","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","GNE","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","IRF1","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","LASP1","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","MELK","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","MTHFR","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","MUL1","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","MYC","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","POLL","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","RANGAP1","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-4730; hsa-miR-125a-3p"
"Target genes (miRTarBase)","SOX4","depleted","0.0151515","0.0151515","0.384805","2","hsa-miR-4276; hsa-miR-4687-5p"
"Target genes (miRTarBase)","SYNGR2","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","TIMM50","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","TRPV2","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-4732-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","TTLL12","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","WDR31","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","ZNF430","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Target genes (miRTarBase)","ZNF439","enriched","0.0151515","0.0151515","0.384805","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Gene Ontology (miRWalk)","GO0000166 nucleotide binding","enriched","0.0151515","0.0151515","0.167584","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Gene Ontology (miRWalk)","GO0000922 spindle pole","enriched","0.0151515","0.0151515","0.167584","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Gene Ontology (miRWalk)","GO0005085 guanyl nucleotide exchange factor activity","enriched","0.0151515","0.0151515","0.167584","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Gene Ontology (miRWalk)","GO0016032 viral reproduction","enriched","0.0151515","0.0151515","0.167584","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Gene Ontology (miRWalk)","GO0030529 ribonucleoprotein complex","enriched","0.0151515","0.0151515","0.167584","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Gene Ontology (miRWalk)","GO0042802 identical protein binding","enriched","0.0151515","0.0151515","0.167584","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Gene Ontology (miRWalk)","GO0043123 positive regulation of i kappab kinase nf kappab cascade","enriched","0.0151515","0.0151515","0.167584","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Gene Ontology (miRWalk)","GO0060170 cilium membrane","enriched","0.0151515","0.0151515","0.167584","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Pathways (miRWalk)","hsa05110 Vibrio cholerae infection","enriched","0.0151515","0.0151515","0.136889","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Diseases (MNDR)","Gastric adenocarcinoma","enriched","0.0151515","0.0151515","0.309465","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Diseases (MNDR)","Ovarian clear cell carcinoma","enriched","0.0151515","0.0151515","0.309465","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Diseases (MNDR)","Pancreatic adenocarcinoma","enriched","0.0151515","0.0151515","0.309465","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Diseases (MNDR)","Prostate adenocarcinoma","enriched","0.0151515","0.0151515","0.309465","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Interactions (NPInter)","ADAM9","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","ATN1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","BAZ2A","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","C19orf44","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","CAPN3","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","DCTN1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","EDARADD","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","EPAS1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","GALK1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","GLUL","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","GNAS","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","GPI","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","HDDC3","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","HSPB7","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","HYOU1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","INTS3","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","IP6K1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","IP6K2","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","LBH","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","LIN28","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Interactions (NPInter)","MARK2","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","MCM7","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","MRPS25","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","NEFM","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","NME4","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","PAFAH1B1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","PCDHGA10","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","PPP6C","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","PRC1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","PRPF8","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","PRR13","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","PSME3","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","PTPRD","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","RREB1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","Rbm20","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Interactions (NPInter)","SEPW1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","SLC1A5","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","SLC25A35","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","SPNS2","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","SPOP","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","SYVN1","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","TAF4","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","THRAP3","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","TINF2","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","TRIP6","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-1307-3p; hsa-miR-125a-3p"
"Interactions (NPInter)","UVRAG","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","YWHAG","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","ZCCHC3","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-3184-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","ZFHX2","enriched","0.0151515","0.0151515","0.200071","2","hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","BRCA1-C complex GO0070533","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","DNA binding domain binding GO0050692","depleted","0.0155039","0.0155039","0.456712","3","hsa-miR-4258; hsa-miR-4787-3p; hsa-miR-4734"
"Annotations derived over miRTarBase (Gene Ontology)","DNA strand resection involved in replication fork processing GO0110025","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","LBD domain binding GO0050693","depleted","0.0155039","0.0155039","0.456712","3","hsa-miR-4258; hsa-miR-4787-3p; hsa-miR-4734"
"Annotations derived over miRTarBase (Gene Ontology)","cytolysis by host of symbiont cells GO0051838","depleted","0.0155039","0.0155039","0.456712","3","hsa-miR-4258; hsa-miR-1343-3p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","homologous recombination GO0035825","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","lyase activity GO0016829","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","nuclease activity GO0004518","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","pituitary gland development GO0021983","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-92a-2-5p; hsa-miR-5572; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of DNA methylation GO1905643","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of thyroid hormone mediated signaling pathway GO0002157","depleted","0.0155039","0.0155039","0.456712","3","hsa-miR-4258; hsa-miR-1238-5p; hsa-miR-4734"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of keratinocyte differentiation GO0045616","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-92a-2-5p; hsa-miR-6869-5p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","single-stranded DNA endodeoxyribonuclease activity GO0000014","enriched","0.0155039","0.0155039","0.456712","3","hsa-miR-6869-5p; hsa-miR-5572; hsa-miR-4481"
"Pathways (KEGG)","p53 signaling pathway","enriched","0.0156056","0.0156056","0.338134","27","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-8069; hsa-miR-5572; hsa-miR-4481; hsa-miR-575; hsa-miR-6787-5p; hsa-miR-6088; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-3180; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-6857-5p; hsa-miR-3940-5p; hsa-miR-6131; hsa-miR-663a; hsa-miR-1238-5p; hsa-miR-4276; hsa-miR-4687-5p; hsa-miR-6746-5p"
"Pathways (KEGG)","Epstein-Barr virus infection","enriched","0.0156927","0.0156927","0.338134","31","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-8069; hsa-miR-5572; hsa-miR-4481; hsa-miR-575; hsa-miR-6787-5p; hsa-miR-6088; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-92b-5p; hsa-miR-3180; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-8073; hsa-miR-6857-5p; hsa-miR-128-1-5p; hsa-miR-3940-5p; hsa-miR-4675; hsa-miR-6131; hsa-miR-663a; hsa-miR-4706; hsa-miR-1343-3p; hsa-miR-4276; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","sarcolemma GO0042383","enriched","0.0163622","0.0163622","0.456712","11","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-6088; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-3180; hsa-miR-6805-5p; hsa-miR-8073; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of cell cycle GO0051726","enriched","0.016401","0.016401","0.456712","32","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-1228-5p; hsa-miR-5572; hsa-miR-4481; hsa-miR-4783-3p; hsa-miR-575; hsa-miR-6787-5p; hsa-miR-6088; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-92b-5p; hsa-miR-4787-5p; hsa-miR-3180; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-8073; hsa-miR-6857-5p; hsa-miR-128-1-5p; hsa-miR-3940-5p; hsa-miR-4675; hsa-miR-6131; hsa-miR-663a; hsa-miR-4258; hsa-miR-1238-5p; hsa-miR-1343-3p; hsa-miR-4276; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent GO0002486","depleted","0.0166916","0.0166916","0.456712","6","hsa-miR-6805-5p; hsa-miR-6857-5p; hsa-miR-4675; hsa-miR-4787-3p; hsa-miR-4276; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","antigen processing and presentation of endogenous peptide antigen via MHC class Ib GO0002476","depleted","0.0166916","0.0166916","0.456712","6","hsa-miR-6805-5p; hsa-miR-6857-5p; hsa-miR-4675; hsa-miR-4787-3p; hsa-miR-4276; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","branching involved in blood vessel morphogenesis GO0001569","enriched","0.0166916","0.0166916","0.456712","6","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-125a-3p; hsa-miR-1228-5p; hsa-miR-1203; hsa-miR-3180"
"Annotations derived over miRTarBase (Gene Ontology)","lateral plasma membrane GO0016328","depleted","0.0166916","0.0166916","0.456712","6","hsa-miR-6805-5p; hsa-miR-6857-5p; hsa-miR-663a; hsa-miR-1343-3p; hsa-miR-4687-5p; hsa-miR-6746-5p"
