"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"SFT2D2","0.128","0.397","0.423","3","hsa-miR-4524b-5p","hsa-miR-6722-3p","hsa-miR-6847-3p","",""
"SKI","0.0348","0.397","0.323","4","hsa-miR-4524b-5p","hsa-miR-6722-3p","hsa-miR-4282","hsa-miR-4741",""
"SLC10A7","0.0606","0.397","0.203","2","hsa-miR-4749-5p","hsa-miR-4282","","",""
"SLC12A7","0.130","0.397","0.317","2","hsa-miR-4511","hsa-miR-4741","","",""
"SLC16A9","0.0656","0.397","0.212","2","hsa-miR-4524b-5p","hsa-miR-4511","","",""
"SLC25A22","0.0302","0.397","0.139","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"SLC2A3","0.0327","0.397","0.145","2","hsa-miR-6847-3p","hsa-miR-4524b-5p","","",""
"SLC35C2","0.106","0.397","0.280","2","hsa-miR-6756-5p","hsa-miR-4741","","",""
"SLC38A1","0.0707","0.397","0.222","2","hsa-miR-6847-3p","hsa-miR-6756-5p","","",""
"SLC47A1","0.0394","0.397","0.160","2","hsa-miR-5591-5p","hsa-miR-4749-5p","","",""
"SLC7A1","0.0813","0.397","0.240","2","hsa-miR-4741","hsa-miR-6756-5p","","",""
"SON","0.169","0.397","0.372","2","hsa-miR-412-3p","hsa-miR-4282","","",""
"SPATA5","0.0832","0.397","0.243","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"SPRED1","0.160","0.397","0.360","2","hsa-miR-4524b-5p","hsa-miR-6722-3p","","",""
"SPRY4","0.0485","0.397","0.281","3","hsa-miR-5591-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"TAF8","0.132","0.397","0.320","2","hsa-miR-4741","hsa-miR-6847-3p","","",""
"TAOK1","0.0446","0.397","0.349","4","hsa-miR-4524b-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","hsa-miR-4511",""
"TCF3","0.0302","0.397","0.139","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"TEF","0.0289","0.397","0.135","2","hsa-miR-4282","hsa-miR-4524b-5p","","",""
"TET3","0.137","0.397","0.326","2","hsa-miR-6857-3p","hsa-miR-4511","","",""
"TFAP2A","0.0542","0.397","0.191","2","hsa-miR-4524b-5p","hsa-miR-6735-5p","","",""
"TIAL1","0.169","0.397","0.372","2","hsa-miR-4741","hsa-miR-4282","","",""
"TM9SF4","0.0380","0.397","0.157","2","hsa-miR-1229-3p","hsa-miR-6735-5p","","",""
"TMEM109","0.120","0.397","0.302","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"TMEM192","0.0408","0.397","0.163","2","hsa-miR-4282","hsa-miR-6847-3p","","",""
"TNRC6B","0.121","0.397","0.412","3","hsa-miR-1229-3p","hsa-miR-6756-5p","hsa-miR-4511","",""
"TRAF6","0.0690","0.397","0.219","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"TRAF7","0.0850","0.397","0.246","2","hsa-miR-1229-3p","hsa-miR-6722-3p","","",""
"TXNIP","0.160","0.397","0.468","3","hsa-miR-6735-5p","hsa-miR-6857-3p","hsa-miR-4511","",""
"UGT2B4","0.0542","0.397","0.191","2","hsa-miR-4524b-5p","hsa-miR-1229-3p","","",""
"ULK1","0.0527","0.397","0.188","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"UNC5B","0.0832","0.397","0.243","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"VEGFA","0.0392","0.397","0.259","3","hsa-miR-4524b-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"VPS8","0.0574","0.397","0.197","2","hsa-miR-6769b-5p","hsa-miR-6847-3p","","",""
"WASF2","0.154","0.397","0.351","2","hsa-miR-412-3p","hsa-miR-5591-5p","","",""
"YWHAZ","0.136","0.397","0.435","3","hsa-miR-1229-3p","hsa-miR-6769b-5p","hsa-miR-6756-5p","",""
"ZBTB46","0.139","0.397","0.329","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"ZC3HAV1L","0.147","0.397","0.342","2","hsa-miR-449c-3p","hsa-miR-6847-3p","","",""
"ZNF525","0.0314","0.397","0.142","2","hsa-miR-6857-3p","hsa-miR-1229-3p","","",""
"ZNF623","0.0981","0.397","0.268","2","hsa-miR-4282","hsa-miR-4511","","",""
"ZNF641","0.0924","0.397","0.259","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"ZNF701","0.102","0.397","0.274","2","hsa-miR-6857-3p","hsa-miR-412-3p","","",""
"ZNF264","0.171","0.398","0.482","3","hsa-miR-1229-3p","hsa-miR-449c-3p","hsa-miR-4282","",""
"FAM83F","0.171","0.398","0.376","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"MRNIP","0.176","0.399","0.382","2","hsa-miR-4282","hsa-miR-6857-3p","","",""
"AKR7A2","0.185","0.402","0.394","2","hsa-miR-6857-3p","hsa-miR-4511","","",""
"PTMA","0.182","0.402","0.391","2","hsa-miR-4282","hsa-miR-6756-5p","","",""
"CLPB","0.189","0.402","0.400","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"FBXL18","0.187","0.402","0.397","2","hsa-miR-4524b-5p","hsa-miR-6722-3p","","",""
"TP53","0.189","0.402","0.400","2","hsa-miR-6756-5p","hsa-miR-6722-3p","","",""
"NAA50","0.194","0.404","0.406","2","hsa-miR-1229-3p","hsa-miR-6756-5p","","",""
"ZNF708","0.194","0.404","0.406","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"ANKRD52","0.196","0.404","0.409","2","hsa-miR-5591-5p","hsa-miR-7846-3p","","",""
"GAN","0.200","0.405","0.416","2","hsa-miR-6735-5p","hsa-miR-6756-5p","","",""
"SMCR8","0.198","0.405","0.412","2","hsa-miR-5591-5p","hsa-miR-6756-5p","","",""
"SRCAP","0.200","0.405","0.416","2","hsa-miR-1229-3p","hsa-miR-6735-5p","","",""
"BZW1","0.233","0.409","0.459","2","hsa-miR-4524b-5p","hsa-miR-4511","","",""
"CDKN1B","0.226","0.409","0.449","2","hsa-miR-4282","hsa-miR-6735-5p","","",""
"FOXK1","0.209","0.409","0.531","3","hsa-miR-1229-3p","hsa-miR-4524b-5p","hsa-miR-4741","",""
"NACC1","0.231","0.409","0.558","3","hsa-miR-6756-5p","hsa-miR-5591-5p","hsa-miR-6769b-5p","",""
"PHAX","0.235","0.409","0.462","2","hsa-miR-6847-3p","hsa-miR-7846-3p","","",""
"PRRC2B","0.216","0.409","0.437","2","hsa-miR-6756-5p","hsa-miR-7846-3p","","",""
"RAD51","0.228","0.409","0.452","2","hsa-miR-6847-3p","hsa-miR-6722-3p","","",""
"SOCS7","0.235","0.409","0.462","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"TSC22D2","0.235","0.409","0.462","2","hsa-miR-6857-3p","hsa-miR-4524b-5p","","",""
"XKR4","0.210","0.409","0.428","2","hsa-miR-4282","hsa-miR-6735-5p","","",""
"ZMAT3","0.223","0.409","0.446","2","hsa-miR-4282","hsa-miR-4524b-5p","","",""
"HMGA1","0.258","0.416","0.492","2","hsa-miR-4741","hsa-miR-5591-5p","","",""
"KLHL15","0.258","0.416","0.591","3","hsa-miR-1229-3p","hsa-miR-4282","hsa-miR-6722-3p","",""
"PKM","0.258","0.416","0.492","2","hsa-miR-4741","hsa-miR-6756-5p","","",""
"SF3B3","0.265","0.421","0.502","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"TPM3","0.275","0.426","0.514","2","hsa-miR-6756-5p","hsa-miR-4282","","",""
"NACC2","0.298","0.434","0.545","2","hsa-miR-7846-3p","hsa-miR-6735-5p","","",""
"MAPKAPK5","0.303","0.436","0.551","2","hsa-miR-6857-3p","hsa-miR-7846-3p","","",""
"PEX26","0.301","0.436","0.548","2","hsa-miR-4741","hsa-miR-4749-5p","","",""
"CYP20A1","0.308","0.438","0.557","2","hsa-miR-6722-3p","hsa-miR-6847-3p","","",""
"ARPP19","0.312","0.440","0.563","2","hsa-miR-6735-5p","hsa-miR-4524b-5p","","",""
"ABI2","0.324","0.443","0.579","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"CDKN1A","0.334","0.443","0.679","3","hsa-miR-1229-3p","hsa-miR-6722-3p","hsa-miR-6735-5p","",""
"MKNK2","0.340","0.447","0.600","2","hsa-miR-4749-5p","hsa-miR-6857-3p","","",""
"CNBP","0.345","0.448","0.606","2","hsa-miR-4282","hsa-miR-6756-5p","","",""
"YOD1","0.354","0.451","0.619","2","hsa-miR-412-3p","hsa-miR-449c-3p","","",""
"HDGF","0.384","0.464","0.659","2","hsa-miR-5591-5p","hsa-miR-6756-5p","","",""
"FEM1A","0.418","0.485","0.705","2","hsa-miR-6857-3p","hsa-miR-6769b-5p","","",""
"SOD2","0.480","0.524","0.791","2","hsa-miR-6735-5p","hsa-miR-4282","","",""
"NFIC","0.499","0.534","0.819","2","hsa-miR-6756-5p","hsa-miR-6722-3p","","",""
"AGO2","0.567","0.585","0.923","2","hsa-miR-6769b-5p","hsa-miR-412-3p","","",""
"NUFIP2","0.622","0.634","1.02","2","hsa-miR-6722-3p","hsa-miR-4524b-5p","","",""
