Score,SuperPath Name,# SuperPath Total Genes,# SuperPath Matched Genes,Matched Genes (Symbols),Evidence URL
15.34,"Cell Cycle, Mitotic",691,64,"RANBP2, TOPBP1, NUP62, HAUS5, WEE1, CCNB1, POLR2E, MDM4, MYC, SPC25, ZNF385A, HSP90AA1, CENPA, ARPP19, CENPN, SFN, DNA2, UBE2D1, UBE2I, TP53, CEP43, CC2D1B, EP300, CTC1, TNPO1, CHEK1, CHEK2, SUMO1, H2AC8, H2AX, HUS1, YWHAE, E2F3, E2F4, RBX1, H2BC15, H2BC21, RCC2, GINS3, YWHAZ, H2BC5, RFC5, H3-3B, H3-4, TAOK1, ACTR1A, TERF2, SEM1, CLASP1, CDC6, CLIP1, FZR1, RPA1, MCM8, H4C3, MLH1, KIF2C, ZWINT, CDK4, POLA2, POLD3, FBXL18, CDK6, NEK7",https://pathcards.genecards.org/card/cell_cycle_mitotic
15.27,Cell Cycle,137,21,"WEE1, CCNB1, MYC, SFN, TP53, EP300, CHEK1, CHEK2, SMAD2, YWHAE, E2F3, E2F4, RBX1, YWHAZ, CDC6, FZR1, RPA1, ANAPC7, CDK4, POLA2, CDK6",https://pathcards.genecards.org/card/cell_cycle
15.10,CNTF Signaling,149,22,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, STAT5A, EIF4EBP1, TIMP1, LDLR, RPS6KA4, FOS, YWHAE, FOSL1, FOSL2, YWHAZ, JUN, JUNB, JUND, NFKBIB, IL6ST, GRB2, RAB5B, MEF2D",https://pathcards.genecards.org/card/cntf_signaling
14.92,Chromatin Regulation / Acetylation,255,31,"DR1, BRD2, TIAL1, HELLS, CENPA, SETD1B, SETD7, TAF1, HCFC1, KMT2A, KMT2B, CBX3, RBBP5, EP300, H1-4, METTL14, TRIM37, H2AX, RNF40, SUV39H1, SUZ12, HMGN2, HNRNPA0, KDM5A, KDM6B, DOT1L, HNRNPC, SIN3A, RYBP, BMI1, MLLT1",https://pathcards.genecards.org/card/chromatin_regulation__acetylation
14.66,Apoptotic Pathways in Synovial Fibroblasts,731,66,"MAP2K1, MAP2K3, PPP1R10, MAP2K4, NCKAP1, MAP2K7, HDGF, GTF2H5, PFN1, CACNG8, MDK, MYC, HSP90AA1, FGF1, F2R, FGF19, TIMP1, TAF1, FGFR4, TP53, RND2, AGO2, ABI2, GNAI2, EP300, LTBP4, GNB2, GNG12, TBRG1, CHEK1, CHEK2, BBC3, GFER, XIAP, RPS6KA4, FOS, YWHAE, FOSL1, YWHAZ, CD3E, JUN, H3-3B, H3-4, ACTB, TERF2, PDGFRA, PPARA, RHOA, PAK2, IL2RA, CACNA1A, ALOX15, TGFA, NFKBIB, IL6ST, PARP15, GRB2, RAC3, RACGAP1, VDAC2, DFFA, H4C3, EIF1AX, PAK4, MEF2D, ITGB8",https://pathcards.genecards.org/card/apoptotic_pathways_in_synovial_fibroblasts
14.44,Cell Cycle Role of 14-3-3 Proteins in Cell Cycle Regulation,30,9,"WEE1, CCNB1, SFN, TP53, CHEK1, CHEK2, HUS1, YWHAE, YWHAZ",https://pathcards.genecards.org/card/cell_cycle_role_of_14-3-3_proteins_in_cell_cycle_regulation
14.40,Toll-like Receptor Signaling Pathway,285,33,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, STAT5A, TAB1, MYC, PTPN6, HSPA1B, TIRAP, IRAK3, TP53, EP300, RBCK1, BBC3, SMAD2, DDB1, RNF216, FOS, MSN, YWHAZ, CD3D, CD3E, JUN, CXCL8, CREB3L2, TRAF3, TRAF6, IL2RA, NFKBIB, GRB2, CDK4, CDK6",https://pathcards.genecards.org/card/toll-like_receptor_signaling_pathway
14.35,Transcription_P53 Signaling Pathway,54,12,"MAP2K4, RANBP2, GTF2H5, MAP4, VEGFA, TP53, FHL2, EP300, APEX1, REL, SUMO1, FOS",https://pathcards.genecards.org/card/transcription_p53_signaling_pathway
14.26,Transcriptional Regulation By The AP-2 (TFAP2) Family of Transcription Factors,38,10,"VEGFA, MYC, HSPD1, UBE2I, EP300, SUMO1, YY1, KCTD15, TFAP2B, TGFA",https://pathcards.genecards.org/card/transcriptional_regulation_by_the_ap-2_(tfap2)_family_of_transcription_factors
13.95,Ovarian Tumor Domain Proteases,39,10,"TNIP2, OTUB1, OTUD7B, UBE2D1, TP53, YOD1, TRAF3, TRAF6, RHOA, VCPIP1",https://pathcards.genecards.org/card/ovarian_tumor_domain_proteases
13.72,Immune Response IL-2 Activation and Signaling Pathway,75,14,"MAP2K1, STAT5A, MYC, PTPN6, REL, FOS, FOSL1, FOSL2, JUN, JUNB, JUND, IL2RA, NFKBIB, GRB2",https://pathcards.genecards.org/card/immune_response_il-2_activation_and_signaling_pathway
13.63,Ubiquitination Cascade,57,12,"OTUB1, OTUD7B, UBE2D1, UBE2D2, UBE2G1, UBE2H, UBE2Q1, UBE2V1, UBE2Z, XIAP, USP9X, YOD1",https://pathcards.genecards.org/card/ubiquitination_cascade
13.53,5q35 Copy Number Variation,106,17,"MYC, ANKS4B, FGF1, FGF19, B4GALT7, FGFR4, ABHD5, GNAI2, DBN1, COX6B1, COX8A, H2AX, PRELID1, JUN, KDM6B, EED, GRB2",https://pathcards.genecards.org/card/5q35_copy_number_variation
13.48,TGF-beta Signaling Pathways,96,16,"MAP2K1, MAP2K3, MAP2K4, MYC, SMAD2, REL, SMAD5, FOS, FOSL1, JUN, JUNB, JUND, TRAF6, RHOA, PAK2, GRB2",https://pathcards.genecards.org/card/tgf-beta_signaling_pathways
13.47,PKMTs Methylate Histone Lysines,86,15,"SETBP1, SETD1B, SETD5, SETD7, KMT2A, KMT2B, KMT2D, RBBP5, ATF7IP, SUV39H1, SUZ12, H3-3B, EED, DOT1L, H4C3",https://pathcards.genecards.org/card/pkmts_methylate_histone_lysines
13.37,Development_Glucocorticoid Receptor Signaling,41,10,"STAT5A, HSP90AA1, HSPA14, HSPA1B, UBE2I, EP300, REL, SUMO1, FOS, JUN",https://pathcards.genecards.org/card/development_glucocorticoid_receptor_signaling
13.35,Akt Signaling,682,61,"MAP2K3, STAT5A, HDGF, AXL, EIF4EBP1, TAB1, CEBPG, MDK, HSP90AA1, FGF1, FGF19, TIMP1, TIRAP, FGFR4, IRAK3, TP53, RND2, GNAI2, MAPK8IP2, MAPKAPK5, LTBP4, GNB2, GNG12, TBRG1, CHEK1, GFER, XIAP, PXN, YAP1, EPHB4, FOS, YWHAE, FOSL1, YWHAZ, DDR2, CD3D, CD3E, JUNB, JUND, SPAG9, CXCL8, IL17RA, ACTB, AKT1S1, PDGFRA, TRAF6, RHOA, PAK2, CDC37, IL2RA, VAV3, TGFA, BMPR1A, GRB2, RAC3, MKNK2, ATXN2, CCL16, PAK4, MEF2D, ITGB8",https://pathcards.genecards.org/card/akt_signaling
13.01,AP-1 Transcription Factor Network,69,13,"MYC, TIMP1, TP53, EP300, HLA-A, FOS, FOSL1, FOSL2, JUN, JUNB, JUND, CXCL8, MAF",https://pathcards.genecards.org/card/ap-1_transcription_factor_network
12.96,Transcriptional Activity of SMAD2/SMAD3:SMAD4 Heterotrimer,51,11,"MYC, CCNK, NCOR2, UBE2D1, EP300, USP9X, SMAD2, E2F4, JUNB, SKI, CDK9",https://pathcards.genecards.org/card/transcriptional_activity_of_smad2smad3smad4_heterotrimer
12.76,Validated Targets of C-MYC Transcriptional Activation,80,14,"CCNB1, MYC, HSP90AA1, HSPD1, TP53, COMMD3-BMI1, FOSL1, E2F3, CAD, TFRC, MTDH, PEG10, BMI1, CDK4",https://pathcards.genecards.org/card/validated_targets_of_c-myc_transcriptional_activation
12.62,Signaling Events Mediated By Hepatocyte Growth Factor Receptor (c-Met),71,13,"MAP2K1, MAP2K4, PTPN1, EIF4EBP1, RANBP10, PXN, BCAR1, JUN, AKT1S1, RHOA, PAK2, GRB2, PAK4",https://pathcards.genecards.org/card/signaling_events_mediated_by_hepatocyte_growth_factor_receptor_(c-met)
12.60,Activation of The Pre-replicative Complex,112,17,"TOPBP1, DNA2, CHEK1, CHEK2, H1-4, HUS1, GINS3, YWHAZ, RFC5, CDC6, RPA1, MCM8, CDK4, POLA2, POLD3, CDK6, CDK9",https://pathcards.genecards.org/card/activation_of_the_pre-replicative_complex
12.57,Processing of Capped Intron-Containing Pre-mRNA,755,65,"LRPPRC, RANBP2, NUP62, GTF2H5, PCBP1, POLR2E, TNKS1BP1, RPL14, TRMT9B, ELAVL1, U2AF2, PHAX, HSPA1B, SF3B3, CSTF1, CSTF2, RPL22, RPL24, GEMIN2, GEMIN4, TNPO1, UBL5, RPL41, RBM22, ZFP36, C1D, CHERP, RBM28, DCP2, METTL14, RBM8A, CTU1, UTP11, SDE2, YWHAZ, NOB1, EBNA1BP2, DDX39B, RRP36, PABPN1, TRA2B, NOL9, DDX6, RPP25, SEM1, SRRT, SRSF10, SMG1, PAN2, HNRNPC, ZC3H11A, FTSJ3, CRNKL1, SNRNP27, RPS15A, UPF3A, FASTK, RPS16, KHSRP, WBP4, PNPT1, PTBP1, PTBP2, SNRPD3, CDKAL1",https://pathcards.genecards.org/card/processing_of_capped_intron-containing_pre-mrna
12.45,SARS-CoV-2 Infection,414,41,"LARP1, RANBP2, NUP62, TAB1, B2M, GATAD2A, VEGFA, SAR1B, PTPN6, HSP90AA1, SFN, UBE2I, UBE2V1, NLRP12, AP2M1, EP300, GEMIN2, GEMIN4, HLA-A, HLA-B, HLA-C, SUMO1, YWHAE, RBX1, YWHAZ, GPC4, MGAT5, ATP1A2, IL17RA, TRAF3, TRAF6, IFNGR2, FXYD1, RPS15A, PEDS1-UBE2V1, G3BP1, RPS16, GRB2, ST6GAL1, CNBP, SNRPD3",https://pathcards.genecards.org/card/sars-cov-2_infection
12.37,ERK Signaling,1185,93,"MAP2K1, MAP2K3, PPP1R10, MAP2K4, MAP2K7, STAT5A, HDGF, AXL, TAB1, WEE1, CACNG8, VEGFA, MDK, MYC, FGF1, FGF19, TIMP1, MYH11, COL18A1, COL23A1, ELN, TLN1, FGFR4, IRAK3, TP53, RND2, GNAI2, MAPK8IP2, EP300, LTBP4, GNB2, GNG12, TBRG1, SOX12, CHEK1, CHEK2, BBC3, GFER, SOX4, RPS6KA4, SPON2, PXN, APH1A, EPHB4, SMAD2, TCF3, SMAD5, FOS, BCAR1, MSN, FOSL1, FOSL2, E2F3, E2F4, DDR2, MYO10, CD3D, CD3E, JUN, JUNB, JUND, H3-3B, H3-4, MYO1F, CXCL8, IL17RA, ACTB, ACTN4, RDX, PDGFRA, TRAF6, RHOA, PAK2, IL2RA, CACNA1A, CLIP1, TGFA, NFKBIB, BMPR1A, GRB2, RAC3, PARVB, MKNK2, CDH7, CAMK2A, TUBD1, LAMC1, CDK4, CCL16, CDK6, PAK4, MEF2D, ITGB8",https://pathcards.genecards.org/card/erk_signaling
12.34,MAPK Signaling Pathway,244,28,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, TAB1, CACNG8, MYC, FGF1, FGF19, HSPA1B, FGF9, RASGRP3, FGFR4, TP53, MAPK8IP2, MAPKAPK5, GNG12, RPS6KA4, FOS, JUN, JUND, TAOK1, TRAF6, PAK2, CACNA1A, GRB2, RAC3, MKNK2",https://pathcards.genecards.org/card/mapk_signaling_pathway
12.26,Tyrosine Kinases / Adaptors,148,20,"AXL, FGF1, SFN, FGFR4, YAP1, EPHB4, YES1, BCAR1, YWHAE, SPRY1, YWHAZ, MACC1, DDR2, PDGFRA, PEAK1, TGFA, EFNB1, GRB2, MPZL1, CSK",https://pathcards.genecards.org/card/tyrosine_kinases__adaptors
12.19,Deubiquitination,297,32,"TNIP2, INO80B, TAB1, MDM4, MYC, USP12, OTUB1, HCFC1, USP22, OTUD7B, UBE2D1, TP53, EP300, USP9X, SMAD2, H2AC12, OGT, YOD1, H2AC8, H2BC15, H2BC21, RCE1, YY1, H2BC5, FOXK1, ACTB, TRAF3, SEM1, TRAF6, RHOA, VCPIP1, VDAC2",https://pathcards.genecards.org/card/deubiquitination
12.05,Downstream Signaling in Naïve CD8+ T Cells,46,10,"MAP2K1, B2M, HLA-A, FOS, FOSL1, CD3D, CD3E, JUN, JUNB, IL2RA",https://pathcards.genecards.org/card/downstream_signaling_in_nave_cd8_t_cells
11.92,Disorders of Folate Metabolism and Transport,16,6,"FOLR1, ATIC, SHMT2, MTHFD1, MTHFD2, MTHFR",https://pathcards.genecards.org/card/disorders_of_folate_metabolism_and_transport
11.75,Signaling Events Mediated By HDAC Class I,118,17,"RANBP2, NUP62, GATAD2A, HSP90AA1, NCOR2, UBE2I, EP300, SUMO1, YWHAE, H2BC21, YY1, H3-3B, H3-4, PPARA, SIN3A, H4C3, CAMK2A",https://pathcards.genecards.org/card/signaling_events_mediated_by_hdac_class_i
11.67,Endometrial Cancer,201,24,"MAP2K1, STAT5A, VEGFA, MYC, FGF1, TP53, BBC3, PXN, SMAD2, REL, FOS, BCAR1, E2F3, JUN, RHOA, PAK2, TGFA, GRB2, RAC3, CALM2, MLH1, CDK4, CDK6, PAK4",https://pathcards.genecards.org/card/endometrial_cancer
11.57,MTOR Signaling Pathway,48,10,"MAP2K1, EIF4EBP1, SFN, DDIT4, YY1, RRN3, AKT1S1, ULK1, RICTOR, CLIP1",https://pathcards.genecards.org/card/mtor_signaling_pathway
11.46,"PtdIns(4,5)P2 in Cytokinesis Pathway",11,5,"OCRL, MSN, RDX, RHOA, RACGAP1",https://pathcards.genecards.org/card/ptdins(45)p2_in_cytokinesis_pathway
11.45,EPH-Ephrin Signaling,143,19,"MAP2K1, MYH11, TLN1, GNAI2, AP2M1, PXN, APH1A, EPHB4, YES1, ACTB, ACTN4, RHOA, PAK2, VAV3, EFNA1, EFNA3, EFNA5, EFNB1, GRB2",https://pathcards.genecards.org/card/eph-ephrin_signaling
11.38,Glucose / Energy Metabolism,307,32,"PTPN1, TXNIP, ABCC6, CEBPD, NKX6-1, SLC7A5, ACACA, SCD, PKM, YAP1, PCYT1A, UCP2, OGT, NMNAT1, CPT1A, ULK1, SHMT2, PPFIBP1, PANK1, PEA15, TFAP2B, CAD, KCNH2, SLC47A1, CYP11A1, G6PD, MTHFD2, CLPP, SLC5A2, NHERF2, CS, MTHFR",https://pathcards.genecards.org/card/glucose__energy_metabolism
11.24,Prolactin Signaling,432,41,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, STAT5A, AXL, EIF4EBP1, CEBPD, VEGFA, MDM4, MYC, IRAK3, TP53, RND2, EP300, RPS6KA4, APH1A, TCF3, FOS, E2F3, E2F4, JUN, H3-3B, H3-4, PDGFRA, TRAF6, RHOA, PAK2, IL2RA, VAV3, IFNGR2, NFAT5, TGFA, NFKBIB, PARP15, GRB2, CALM2, CAMK2A, CDK4, CDK6, PAK4",https://pathcards.genecards.org/card/prolactin_signaling
11.12,P53 Pathway,50,10,"CSE1L, MDM4, SETD7, UBE2D1, TP53, CHEK1, CHEK2, YY1, PIN1, DYRK2",https://pathcards.genecards.org/card/p53_pathway
11.04,ESR-mediated Signaling,298,31,"ARL4C, POLR2E, MYC, HSP90AA1, ZDHHC21, NCOR2, AGO2, GNAI2, EP300, SCD, GNB2, GNG12, UHMK1, H2AC8, FOS, H2AX, H2BC15, H2BC21, YY1, H2BC5, CPT1A, JUN, JUND, H3-3B, RDH11, PDK3, TGFA, CALM2, H4C3, ANGPTL3, CDK9",https://pathcards.genecards.org/card/esr-mediated_signaling
11.02,Immune Response_IL-6 Signaling Pathway,33,8,"MAP2K1, CEBPD, REL, FOS, JUN, JUND, IL6ST, GRB2",https://pathcards.genecards.org/card/immune_response_il-6_signaling_pathway
10.95,Cell Cycle Regulation of G1/S Transition (part 1),124,17,"WEE1, CCNB1, MYC, HSP90AA1, CHEK1, CHEK2, SMAD2, FOS, E2F4, RBX1, JUN, JUNB, FZR1, GRB2, ANAPC7, CDK4, CDK6",https://pathcards.genecards.org/card/cell_cycle_regulation_of_g1s_transition_(part_1)
10.92,Signaling By ALK in Cancer,91,14,"STAT5A, RANBP2, CCNB1, PTPN6, TP53, AGO2, ATIC, MSN, RBX1, JUN, JUNB, PPFIBP1, TPM3, GRB2",https://pathcards.genecards.org/card/signaling_by_alk_in_cancer
10.92,Corticotropin-releasing Hormone Signaling Pathway,91,14,"MAP2K1, HSP90AA1, GNAI2, ACACA, GNB2, FOS, FOSL1, FOSL2, JUNB, JUND, CXCL8, RHOA, CYP11A1, CAMK2A",https://pathcards.genecards.org/card/corticotropin-releasing_hormone_signaling_pathway
10.91,CD28 Signaling in T-Helper Cell,113,16,"MAP2K4, MAP2K7, FOS, CD3D, CD3E, JUN, ICOSLG, ACTB, IL2RA, NFAT5, TRAT1, NFKBIB, GRB2, CALM2, CAMK2A, CSK",https://pathcards.genecards.org/card/cd28_signaling_in_t-helper_cell
10.90,Calcineurin-regulated NFAT-dependent Transcription in Lymphocytes,51,10,"PTPN1, FOS, FOSL1, RCAN1, JUN, JUNB, CXCL8, MAF, IL2RA, CDK4",https://pathcards.genecards.org/card/calcineurin-regulated_nfat-dependent_transcription_in_lymphocytes
10.89,Packaging Of Telomere Ends,209,24,"POLR2E, CENPA, CENPN, TP53, BAMBI, EP300, H1-4, APEX1, SMAD2, H2AC8, H2AX, H2BC15, H2BC21, H2BC5, RFC5, H3-3B, H3-4, TERF2, SIN3A, RPA1, H4C3, SKI, INHBA, POLD3",https://pathcards.genecards.org/card/packaging_of_telomere_ends
10.64,Integrated Breast Cancer Pathway,150,19,"TAB1, WEE1, VEGFA, MYC, RASGRP3, BACH1, TP53, GDI1, EP300, PKIA, DCAKD, CHEK1, CHEK2, XRCC3, SMAD2, FOSL2, JUN, BMPR1A, CDK4",https://pathcards.genecards.org/card/integrated_breast_cancer_pathway
10.62,VEGF Signaling Pathway,93,14,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, VEGFA, TLN1, FGFR4, CEP43, PXN, SMAD2, SMAD5, GRB2, RAC3, CSK",https://pathcards.genecards.org/card/vegf_signaling_pathway
10.62,Transport of Inorganic Cations/anions and Amino Acids/oligopeptides,735,61,"SLC5A5, SLC5A6, SLC12A5, SLC12A6, MCU, ABCC6, SAR1B, ABCF1, SLC6A6, BSND, STOML3, SLC7A5, LDLR, PHB2, SLC24A4, SLC9A3, SLC9A4, AP2M1, VLDLR, SGK3, GNB2, GNG12, SCNN1G, TRPC4AP, FLVCR1, SLC2A14, ASPH, RNF185, SLC30A3, LETM1, SLC33A1, YME1L1, SLC38A2, SLC38A4, APOC3, TRPV2, ATP1A2, AQP3, LIPA, AQP6, SEM1, CLCN7, OSTM1, PDZD11, SLC41A2, SLC43A2, FXYD1, ATP6V0E1, TFRC, PMPCA, ATP6V1F, SLC47A1, ESYT1, ATP8B4, SLC4A2, VDAC2, CALM2, CAMK2A, SLC5A2, ANGPTL3, C8orf44-SGK3",https://pathcards.genecards.org/card/transport_of_inorganic_cationsanions_and_amino_acidsoligopeptides
10.62,MAP Kinase Activation,72,12,"MAP2K1, MAP2K3, MAP2K4, TNIP2, MAP2K7, TAB1, UBE2V1, FOS, JUN, IL17RA, TRAF6, PEDS1-UBE2V1",https://pathcards.genecards.org/card/map_kinase_activation
10.62,Development_TGF-beta Receptor Signaling,72,12,"MAP2K1, MAP2K3, TAB1, EP300, TNPO1, XIAP, SMAD2, REL, YY1, FZR1, SKI, ANAPC7",https://pathcards.genecards.org/card/development_tgf-beta_receptor_signaling
10.61,3q29 Copy Number Variation Syndrome,62,11,"STAT5A, MYC, FBXO45, CEP350, CEP43, PXN, UBXN7, PCYT1A, JUN, PAK2, TFRC",https://pathcards.genecards.org/card/3q29_copy_number_variation_syndrome
10.42,Chromosome Maintenance,140,18,"POLR2E, CENPA, CENPN, DNA2, CTC1, H2AC8, H2AX, H2BC15, H2BC21, H2BC5, RFC5, H3-3B, H3-4, TERF2, RPA1, H4C3, POLA2, POLD3",https://pathcards.genecards.org/card/chromosome_maintenance
10.39,Nervous System Development,1269,95,"MAP2K1, THRAP3, HAND2, PFN1, CACNG8, POLR2E, CEBPD, TNKS1BP1, RPL14, MYC, NKX6-1, HSP90AA1, MYH11, FGF9, NCOR2, RPL22, TLN1, TP53, AGO2, MED28, KMT2A, KMT2D, RPL24, RBBP5, AP2M1, VLDLR, EP300, SCN2B, TBX20, RPL41, SLIT1, RPS6KA4, GFRA1, APH1A, YAP1, EPHB4, SMAD2, YES1, RBM8A, TAL1, TCF3, H2AC8, H2AX, KRT78, MSN, FOXC1, PRSS8, RBX1, H2BC15, H2BC21, YY1, H2BC5, SUZ12, MYO10, ONECUT3, JUN, H3-3B, SPAG9, PABPN1, ACTB, KRT80, RDX, SEM1, PPARA, KDM5A, PAGR1, KDM6B, CLASP1, RHOA, PAK2, EED, TET3, VAV3, UNC5B, TFAP2B, NAB2, EFNA1, RPS15A, EFNA3, EFNA5, ARHGAP39, UPF3A, EFNB1, RPS16, GRB2, KRTAP9-6, LHX9, H4C3, AMH, HOXD11, HOXD3, LAMC1, CDK4, PAK4, MEF2D",https://pathcards.genecards.org/card/nervous_system_development
