Score,Name,Disease categories,# Total Genes,# Matched Genes,Matched Genes (Symbols),Evidence URL,Genetic Associations,Matched Genes for Genetic Associations,Diferentially Expressed Genes in Tissue Samples,Genes Matched to Differentially Expressed Genes
2.07,"Mucopolysaccharidosis, Type Ivb","Bone diseases, Neuronal diseases, Skin diseases, Endocrine diseases, Oral diseases, Mental diseases, Eye diseases, Respiratory diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",30,1,TMPPE,https://www.malacards.org/card/mucopolysaccharidosis_type_ivb,Causative mutation,TMPPE,,
2.07,Hepatitis,"Blood diseases, Gastrointestinal diseases, Liver diseases, Oral diseases, Immune diseases, Cancer diseases, Infectious diseases, Genetic diseases, Rare diseases",80,2,"TNF, TBK1",https://www.malacards.org/card/hepatitis,,,,
2.06,Acne,"Skin diseases, Endocrine diseases",46,2,"TNF, CXCL8",https://www.malacards.org/card/acne,,,,
2.06,Coccidiosis,"Gastrointestinal diseases, Immune diseases, Infectious diseases",47,2,"TNF, CXCL8",https://www.malacards.org/card/coccidiosis,,,,
2.06,Severe Acute Respiratory Syndrome,"Neuronal diseases, Blood diseases, Respiratory diseases, Infectious diseases, Rare diseases",47,2,"CXCL8, TNF",https://www.malacards.org/card/severe_acute_respiratory_syndrome,,,,
2.06,Serous Cystadenocarcinoma,Cancer diseases,47,2,"MMP2, CDH1",https://www.malacards.org/card/serous_cystadenocarcinoma,,,,
2.06,Irritable Bowel Syndrome,Gastrointestinal diseases,48,2,"TNF, CXCL8",https://www.malacards.org/card/irritable_bowel_syndrome,,,,
2.06,Lymph Node Disease,Immune diseases,48,2,"CXCL8, TNF",https://www.malacards.org/card/lymph_node_disease,,,,
2.06,Adenoma,"Endocrine diseases, Cancer diseases",83,2,"CDH1, SMAD3",https://www.malacards.org/card/adenoma,,,,
2.05,Stomatitis,Oral diseases,47,2,"TNF, CXCL8",https://www.malacards.org/card/stomatitis,,,,
2.05,Common Cold,"Oral diseases, Respiratory diseases, Smell/Taste diseases, Infectious diseases",48,2,"CXCL8, TNF",https://www.malacards.org/card/common_cold,,,,
2.05,Salmonellosis,"Blood diseases, Gastrointestinal diseases, Immune diseases, Infectious diseases, Rare diseases",49,2,"CXCL8, TNF",https://www.malacards.org/card/salmonellosis,,,,
2.05,Amyloidosis,"Bone diseases, Neuronal diseases, Nephrological diseases, Blood diseases, Liver diseases, Endocrine diseases, Metabolic diseases, Genetic diseases, Rare diseases",62,2,"TNF, PRNP",https://www.malacards.org/card/amyloidosis,,,,
2.05,Fibrosarcoma,"Bone diseases, Cancer diseases, Rare diseases",87,2,"TNF, MMP2",https://www.malacards.org/card/fibrosarcoma,,,,
2.05,Fundus Dystrophy,"Neuronal diseases, Eye diseases",554,2,"TNF, CABP4",https://www.malacards.org/card/fundus_dystrophy,Causative mutation,CABP4,,
2.04,Craniopharyngioma,"Neuronal diseases, Endocrine diseases, Eye diseases, Cancer diseases, Rare diseases",46,2,"CXCL8, SOX9",https://www.malacards.org/card/craniopharyngioma,,,,
2.04,Autoimmune Disease Of Cardiovascular System,"Blood diseases, Immune diseases, Cardiovascular diseases",50,2,"CXCL8, TNF",https://www.malacards.org/card/autoimmune_disease_of_cardiovascular_system,,,,
2.04,Commensal Bacterial Infectious Disease,Infectious diseases,51,2,"TNF, CXCL8",https://www.malacards.org/card/commensal_bacterial_infectious_disease,,,,
2.04,Breast Carcinoma In Situ,"Skin diseases, Reproductive diseases, Immune diseases, Cancer diseases, Genetic diseases, Rare diseases",51,2,"SNAI1, CDH1",https://www.malacards.org/card/breast_carcinoma_in_situ,,,,
2.04,Vein Disease,"Cardiovascular diseases, Rare diseases, Fetal diseases",51,2,"CXCL8, TNF",https://www.malacards.org/card/vein_disease,,,,
2.03,Peritonitis,"Gastrointestinal diseases, Infectious diseases",49,2,"CXCL8, TNF",https://www.malacards.org/card/peritonitis,,,,
2.03,Leishmaniasis,"Infectious diseases, Rare diseases",49,2,"CXCL8, TNF",https://www.malacards.org/card/leishmaniasis,,,,
2.03,Cholangitis,"Gastrointestinal diseases, Liver diseases, Immune diseases",51,2,"CXCL8, TNF",https://www.malacards.org/card/cholangitis,,,,
2.03,Post-Traumatic Stress Disorder,"Neuronal diseases, Mental diseases",51,2,"TNF, ADCYAP1",https://www.malacards.org/card/post_traumatic_stress_disorder,,,,
2.03,Opportunistic Mycosis,Infectious diseases,52,2,"TNF, CXCL8",https://www.malacards.org/card/opportunistic_mycosis,,,,
2.03,Hennekam Syndrome,"Neuronal diseases, Blood diseases, Skin diseases, Immune diseases, Cardiovascular diseases, Rare diseases, Fetal diseases",34,1,CCBE1,https://www.malacards.org/card/hennekam_syndrome,Causative mutation,CCBE1,,
2.02,Gout,"Bone diseases, Nephrological diseases, Skin diseases, Immune diseases, Metabolic diseases",50,2,"CXCL8, TNF",https://www.malacards.org/card/gout,,,,
2.02,Sleep Apnea,"Neuronal diseases, Mental diseases, Respiratory diseases",51,2,"TNF, CXCL8",https://www.malacards.org/card/sleep_apnea,,,,
2.02,Hellp Syndrome,"Blood diseases, Reproductive diseases, Cardiovascular diseases, Rare diseases",51,2,"CXCL8, TNF",https://www.malacards.org/card/hellp_syndrome,,,,
2.02,Chronic Asthma,"Mental diseases, Respiratory diseases, Genetic diseases, Rare diseases",53,2,"CXCL8, TNF",https://www.malacards.org/card/chronic_asthma,,,,
2.02,Parasitic Helminthiasis Infectious Disease,"Gastrointestinal diseases, Infectious diseases, Rare diseases",53,2,"TNF, SNAI1",https://www.malacards.org/card/parasitic_helminthiasis_infectious_disease,,,,
2.02,Exanthem,"Skin diseases, Infectious diseases",54,2,"TNF, CXCL8",https://www.malacards.org/card/exanthem,,,,
2.02,Urinary Tract Infection,"Nephrological diseases, Infectious diseases",54,2,"TNF, CXCL8",https://www.malacards.org/card/urinary_tract_infection,,,,
2.02,Hypersensitivity Reaction Type Iv Disease,"Immune diseases, Cancer diseases",54,2,"CXCL8, TNF",https://www.malacards.org/card/hypersensitivity_reaction_type_iv_disease,,,,
2.02,Cervical Squamous Cell Carcinoma,"Reproductive diseases, Cancer diseases, Rare diseases",394,3,"CDH1, MMP2, CKS1B",https://www.malacards.org/card/cervical_squamous_cell_carcinoma,,,Uterus,CKS1B
2.01,Migraine Without Aura,"Neuronal diseases, Blood diseases, Eye diseases, Genetic diseases",25,1,TNF,https://www.malacards.org/card/migraine_without_aura,Risk factor,TNF,,
2.01,Proteasome-Associated Autoinflammatory Syndrome 1,"Bone diseases, Liver diseases, Skin diseases, Endocrine diseases, Immune diseases, Genetic diseases, Rare diseases",53,2,"CXCL8, TNF",https://www.malacards.org/card/proteasome_associated_autoinflammatory_syndrome_1,,,,
2.01,Severe Covid-19,"Respiratory diseases, Infectious diseases",54,2,"TNF, CXCL8",https://www.malacards.org/card/severe_covid_19,,,,
2.01,Trypanosomiasis,Infectious diseases,55,2,"TNF, CXCL8",https://www.malacards.org/card/trypanosomiasis,,,,
2.01,Fungal Infectious Disease,Infectious diseases,55,2,"CXCL8, TNF",https://www.malacards.org/card/fungal_infectious_disease,,,,
2.01,Nasal Cavity Disease,Respiratory diseases,55,2,"CXCL8, TNF",https://www.malacards.org/card/nasal_cavity_disease,,,,
2.01,Respiratory Allergy,"Immune diseases, Respiratory diseases",55,2,"TNF, CXCL8",https://www.malacards.org/card/respiratory_allergy,,,,
2.01,Atherosclerosis,"Blood diseases, Immune diseases, Cardiovascular diseases",93,2,"TNF, CXCL8",https://www.malacards.org/card/atherosclerosis,,,,
2.00,Non-Syndromic Male Infertility Due To Sperm Motility Disorder,"Reproductive diseases, Rare diseases",21,1,DNAH17,https://www.malacards.org/card/non_syndromic_male_infertility_due_to_sperm_motility_disorder,Causative mutation,DNAH17,,
2.00,"Corneal Dystrophy, Posterior Polymorphous, 1","Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases, Fetal diseases",52,2,"CDH1, TCF4",https://www.malacards.org/card/corneal_dystrophy_posterior_polymorphous_1,,,,
2.00,Aspergillosis,"Respiratory diseases, Infectious diseases, Genetic diseases, Rare diseases",54,2,"CXCL8, TNF",https://www.malacards.org/card/aspergillosis,,,,
2.00,Autosomal Recessive Robinow Syndrome,"Bone diseases, Neuronal diseases, Nephrological diseases, Reproductive diseases, Eye diseases, Genetic diseases, Rare diseases, Fetal diseases",35,1,FZD2,https://www.malacards.org/card/autosomal_recessive_robinow_syndrome,Causative mutation,FZD2,,
2.00,Interstitial Lung Disease,"Neuronal diseases, Blood diseases, Respiratory diseases, Cancer diseases, Genetic diseases, Rare diseases",74,2,"TNF, CXCL8",https://www.malacards.org/card/interstitial_lung_disease,,,,
1.99,Allergic Contact Dermatitis,"Blood diseases, Skin diseases, Immune diseases, Rare diseases",57,2,"CXCL8, TNF",https://www.malacards.org/card/allergic_contact_dermatitis,,,,
1.99,Contact Dermatitis,Skin diseases,58,2,"TNF, CXCL8",https://www.malacards.org/card/contact_dermatitis,,,,
1.99,Lymphoid Interstitial Pneumonia,"Gastrointestinal diseases, Oral diseases, Immune diseases, Respiratory diseases, Rare diseases",59,2,"CXCL8, TNF",https://www.malacards.org/card/lymphoid_interstitial_pneumonia,,,,
1.99,Nose Disease,"Respiratory diseases, Smell/Taste diseases",59,2,"CXCL8, TNF",https://www.malacards.org/card/nose_disease,,,,
1.99,Familial Adenomatous Polyposis,"Bone diseases, Neuronal diseases, Gastrointestinal diseases, Skin diseases, Cancer diseases, Genetic diseases, Rare diseases",76,2,"TCF4, CDH1",https://www.malacards.org/card/familial_adenomatous_polyposis,,,,
1.98,Prolactinoma,"Neuronal diseases, Endocrine diseases, Reproductive diseases, Cancer diseases, Genetic diseases, Rare diseases",55,2,"CDH1, ADCYAP1",https://www.malacards.org/card/prolactinoma,,,,
1.98,Pain Disorder,"Neuronal diseases, Mental diseases, Rare diseases",55,2,"CXCL8, TNF",https://www.malacards.org/card/pain_disorder,,,,
1.98,Leprosy,"Neuronal diseases, Skin diseases, Reproductive diseases, Immune diseases, Eye diseases, Infectious diseases, Genetic diseases, Rare diseases",60,2,"TNF, CXCL8",https://www.malacards.org/card/leprosy,,,,
1.98,Placenta Disease,"Rare diseases, Fetal diseases",61,2,"CXCL8, TNF",https://www.malacards.org/card/placenta_disease,,,,
1.98,Intestinal Benign Neoplasm,"Gastrointestinal diseases, Cancer diseases",61,2,"CDH1, TNF",https://www.malacards.org/card/intestinal_benign_neoplasm,,,,
1.98,Spastic Cerebral Palsy,"Neuronal diseases, Muscle diseases",119,2,"IGFBP5, GREM1",https://www.malacards.org/card/spastic_cerebral_palsy,,,Skeletal Muscle,"GREM1, IGFBP5"
1.97,Temporal Arteritis,"Bone diseases, Neuronal diseases, Nephrological diseases, Immune diseases, Cardiovascular diseases, Rare diseases",59,2,"TNF, CXCL8",https://www.malacards.org/card/temporal_arteritis,,,,
1.97,Aortic Disease,Cardiovascular diseases,63,2,"MMP2, SMAD3",https://www.malacards.org/card/aortic_disease,,,,
1.96,Hemophagocytic Lymphohistiocytosis,"Neuronal diseases, Blood diseases, Liver diseases, Immune diseases, Genetic diseases, Rare diseases",60,2,"TNF, CXCL8",https://www.malacards.org/card/hemophagocytic_lymphohistiocytosis,,,,
1.96,Retinal Vascular Disease,"Neuronal diseases, Eye diseases, Cardiovascular diseases",65,2,"TNF, CCN2",https://www.malacards.org/card/retinal_vascular_disease,,,,
1.96,Bone Structure Disease,Bone diseases,65,2,"TNF, SOX9",https://www.malacards.org/card/bone_structure_disease,,,,
1.96,Narcolepsy,"Neuronal diseases, Mental diseases, Muscle diseases, Eye diseases, Genetic diseases, Rare diseases",88,2,"TNF, SNAP25",https://www.malacards.org/card/narcolepsy,,,,
1.95,Thalassemia,"Nephrological diseases, Blood diseases, Liver diseases, Endocrine diseases, Immune diseases, Genetic diseases, Rare diseases, Fetal diseases",57,2,"TNF, SOX6",https://www.malacards.org/card/thalassemia,,,,
1.95,Migraine With Aura,"Neuronal diseases, Genetic diseases",64,2,"ADCYAP1, MMP2",https://www.malacards.org/card/migraine_with_aura,,,,
1.95,Corneal Disease,"Neuronal diseases, Eye diseases, Rare diseases",67,2,"CXCL8, TNF",https://www.malacards.org/card/corneal_disease,,,,
1.95,Liver Cirrhosis,Gastrointestinal diseases,83,2,"TNF, CCN2",https://www.malacards.org/card/liver_cirrhosis,,,,
1.95,Glomerulonephritis,"Nephrological diseases, Blood diseases, Immune diseases, Rare diseases",87,2,"TNF, CCN2",https://www.malacards.org/card/glomerulonephritis,,,,
1.94,Pulmonary Emphysema,Respiratory diseases,63,2,"CXCL8, MMP2",https://www.malacards.org/card/pulmonary_emphysema,,,,
1.94,Gm1 Gangliosidosis,"Bone diseases, Neuronal diseases, Liver diseases, Endocrine diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases",45,1,TMPPE,https://www.malacards.org/card/gm1_gangliosidosis,Causative mutation,TMPPE,,
1.93,Cleft Lip/Palate,"Ear diseases, Rare diseases, Fetal diseases",24,1,CDH1,https://www.malacards.org/card/cleft_lip_palate,Risk factor,CDH1,,
1.93,"Mesothelioma, Malignant","Respiratory diseases, Cancer diseases, Genetic diseases",62,2,"CDH2, CDH1",https://www.malacards.org/card/mesothelioma_malignant,,,,
1.93,Uveal Disease,"Neuronal diseases, Eye diseases, Rare diseases",71,2,"CXCL8, TNF",https://www.malacards.org/card/uveal_disease,,,,
1.92,Otitis Media,"Ear diseases, Genetic diseases",68,2,"TNF, CXCL8",https://www.malacards.org/card/otitis_media,,,,
1.92,Granulomatosis With Polyangiitis,"Bone diseases, Neuronal diseases, Nephrological diseases, Skin diseases, Immune diseases, Respiratory diseases, Cardiovascular diseases, Rare diseases",70,2,"TNF, CXCL8",https://www.malacards.org/card/granulomatosis_with_polyangiitis,,,,
1.92,Anaplastic Astrocytoma,"Neuronal diseases, Mental diseases, Cancer diseases, Rare diseases",71,2,"CDH2, MMP2",https://www.malacards.org/card/anaplastic_astrocytoma,,,,
1.92,Retinopathy Of Prematurity,"Neuronal diseases, Eye diseases, Rare diseases",71,2,"CXCL8, TNF",https://www.malacards.org/card/retinopathy_of_prematurity,,,,
1.92,Blood Coagulation Disease,Blood diseases,73,2,"CXCL8, TNF",https://www.malacards.org/card/blood_coagulation_disease,,,,
1.92,Lens Disease,"Neuronal diseases, Eye diseases, Rare diseases",74,2,"TNF, CXCL8",https://www.malacards.org/card/lens_disease,,,,
1.92,Autoimmune Disease Of Skin And Connective Tissue,"Skin diseases, Immune diseases",75,2,"TNF, CXCL8",https://www.malacards.org/card/autoimmune_disease_of_skin_and_connective_tissue,,,,
1.91,Hemoglobinopathy,"Blood diseases, Rare diseases",72,2,"TNF, SOX6",https://www.malacards.org/card/hemoglobinopathy,,,,
1.91,Speech And Communication Disorders,"Mental diseases, Ear diseases",73,2,"TNF, PRNP",https://www.malacards.org/card/speech_and_communication_disorders,,,,
1.91,Allergic Disease,Immune diseases,76,2,"TNF, CXCL8",https://www.malacards.org/card/allergic_disease,,,,
1.91,Diffuse Gastric And Lobular Breast Cancer Syndrome,"Gastrointestinal diseases, Endocrine diseases, Cancer diseases, Genetic diseases, Rare diseases",47,1,CDH1,https://www.malacards.org/card/diffuse_gastric_and_lobular_breast_cancer_syndrome,"Causative mutation, Genetic tests",CDH1,,
1.91,Neural Tube Defects,"Neuronal diseases, Mental diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",573,3,"SOX9, CDH2, CCBE1",https://www.malacards.org/card/neural_tube_defects,,,Amnion,CCBE1
1.90,Marfan Syndrome,"Bone diseases, Neuronal diseases, Eye diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Fetal diseases",70,2,"MMP2, SMAD3",https://www.malacards.org/card/marfan_syndrome,,,,
1.90,Charge Syndrome,"Neuronal diseases, Nephrological diseases, Blood diseases, Endocrine diseases, Reproductive diseases, Eye diseases, Cardiovascular diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",71,2,"SMARCC1, SOX9",https://www.malacards.org/card/charge_syndrome,,,,
1.90,Hypertrichosis,"Skin diseases, Rare diseases",72,2,"MMP2, SOX9",https://www.malacards.org/card/hypertrichosis,,,,
1.90,Toxic Encephalopathy,"Neuronal diseases, Mental diseases, Eye diseases, Rare diseases",78,2,"PRNP, TNF",https://www.malacards.org/card/toxic_encephalopathy,,,,
1.90,Autoimmune Disease Of Gastrointestinal Tract,"Gastrointestinal diseases, Immune diseases",78,2,"CXCL8, TNF",https://www.malacards.org/card/autoimmune_disease_of_gastrointestinal_tract,,,,
1.89,Cerebral Malaria,Infectious diseases,35,1,TNF,https://www.malacards.org/card/cerebral_malaria,Risk factor,TNF,,
1.89,Tongue Disease,"Gastrointestinal diseases, Oral diseases, Smell/Taste diseases",81,2,"SNAI1, CDH1",https://www.malacards.org/card/tongue_disease,,,,
1.88,Parasitic Protozoa Infectious Disease,"Cancer diseases, Infectious diseases",84,2,"CXCL8, TNF",https://www.malacards.org/card/parasitic_protozoa_infectious_disease,,,,
1.88,Pitt-Hopkins Syndrome,"Neuronal diseases, Mental diseases, Muscle diseases, Genetic diseases, Rare diseases, Fetal diseases",55,1,TCF4,https://www.malacards.org/card/pitt_hopkins_syndrome,"Causative mutation, Risk factor, Genetic tests",TCF4,,
1.88,Helicobacter Pylori Infection,"Gastrointestinal diseases, Cancer diseases, Genetic diseases",233,2,"CXCL8, REG3A",https://www.malacards.org/card/helicobacter_pylori_infection,,,"Gastrointestinal Tract,Stomach","CXCL8, REG3A"
1.87,"Aortic Aneurysm, Familial Thoracic 4","Blood diseases, Cardiovascular diseases, Genetic diseases, Rare diseases",32,1,SMAD3,https://www.malacards.org/card/aortic_aneurysm_familial_thoracic_4,Causative mutation,SMAD3,,
1.87,Paraganglioma,"Endocrine diseases, Ear diseases, Cancer diseases, Genetic diseases",84,2,"EGLN1, MMP2",https://www.malacards.org/card/paraganglioma,,,,
1.87,Autoimmune Disease Of Central Nervous System,"Neuronal diseases, Blood diseases, Immune diseases, Rare diseases",87,2,"CXCL8, TNF",https://www.malacards.org/card/autoimmune_disease_of_central_nervous_system,,,,
1.87,Bronchial Disease,Respiratory diseases,89,2,"TNF, CXCL8",https://www.malacards.org/card/bronchial_disease,,,,
1.87,Coronavirus Infectious Disease,Infectious diseases,89,2,"CXCL8, TNF",https://www.malacards.org/card/coronavirus_infectious_disease,,,,
1.87,Autosomal Dominant Nocturnal Frontal Lobe Epilepsy,"Neuronal diseases, Oral diseases, Genetic diseases, Rare diseases",53,1,CABP4,https://www.malacards.org/card/autosomal_dominant_nocturnal_frontal_lobe_epilepsy,Causative mutation,CABP4,,
1.87,Focal Epilepsy,Neuronal diseases,54,1,SNAP25,https://www.malacards.org/card/focal_epilepsy,Causative mutation,SNAP25,,
1.87,Lymphoma,"Neuronal diseases, Blood diseases, Immune diseases, Eye diseases, Cancer diseases, Rare diseases",157,2,"JUNB, BMI1",https://www.malacards.org/card/lymphoma,,,,
1.86,Skin Carcinoma,"Skin diseases, Cancer diseases, Rare diseases",90,2,"TNF, CDH1",https://www.malacards.org/card/skin_carcinoma,,,,
1.86,Primary Bacterial Infectious Disease,Infectious diseases,92,2,"CXCL8, TNF",https://www.malacards.org/card/primary_bacterial_infectious_disease,,,,
1.85,Sleep Disorder,"Neuronal diseases, Mental diseases, Rare diseases",90,2,"TNF, CXCL8",https://www.malacards.org/card/sleep_disorder,,,,
1.85,Leukocyte Disease,Blood diseases,94,2,"CXCL8, TNF",https://www.malacards.org/card/leukocyte_disease,,,,
1.85,Intracranial Berry Aneurysm,"Neuronal diseases, Cardiovascular diseases, Genetic diseases, Rare diseases",94,2,"CXCL8, TNF",https://www.malacards.org/card/intracranial_berry_aneurysm,,,,
1.85,Bacterial Infectious Disease,Infectious diseases,96,2,"TNF, CXCL8",https://www.malacards.org/card/bacterial_infectious_disease,,,,
1.85,Arteriovenous Malformations Of The Brain,"Neuronal diseases, Cardiovascular diseases, Cancer diseases, Genetic diseases, Rare diseases, Fetal diseases",49,1,CDH2,https://www.malacards.org/card/arteriovenous_malformations_of_the_brain,Causative mutation,CDH2,,
1.84,"Dementia, Lewy Body","Neuronal diseases, Mental diseases, Eye diseases, Genetic diseases",95,2,"SNAP25, PRNP",https://www.malacards.org/card/dementia_lewy_body,,,,
1.83,Bone Inflammation Disease,Bone diseases,100,2,"TNF, CXCL8",https://www.malacards.org/card/bone_inflammation_disease,,,,
1.83,Autoimmune Disease Of Musculoskeletal System,"Immune diseases, Muscle diseases",101,2,"CXCL8, TNF",https://www.malacards.org/card/autoimmune_disease_of_musculoskeletal_system,,,,
1.82,Familial Thoracic Aortic Aneurysm And Aortic Dissection,"Bone diseases, Cardiovascular diseases, Genetic diseases, Rare diseases",39,1,SMAD3,https://www.malacards.org/card/familial_thoracic_aortic_aneurysm_and_aortic_dissection,"Causative mutation, Genetic tests",SMAD3,,
1.82,Hereditary Hemorrhagic Telangiectasia,"Bone diseases, Neuronal diseases, Gastrointestinal diseases, Liver diseases, Skin diseases, Eye diseases, Respiratory diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Fetal diseases",79,2,"CXCL8, SMAD3",https://www.malacards.org/card/hereditary_hemorrhagic_telangiectasia,,,,
1.82,"Epilepsy, Myoclonic Juvenile","Neuronal diseases, Oral diseases, Mental diseases, Muscle diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",99,2,"DIRAS1, GABRB1",https://www.malacards.org/card/epilepsy_myoclonic_juvenile,,,,
1.82,Phenylketonuria,"Neuronal diseases, Endocrine diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",104,2,"CDH1, CDH2",https://www.malacards.org/card/phenylketonuria,,,,
1.82,Acute Myocardial Infarction,"Cardiovascular diseases, Genetic diseases",131,2,"TNF, CXCL8",https://www.malacards.org/card/acute_myocardial_infarction,,,Blood,CXCL8
1.82,B-Cell Lymphoma,"Blood diseases, Immune diseases, Cancer diseases, Rare diseases",135,2,"BMI1, TNF",https://www.malacards.org/card/b_cell_lymphoma,,,,
1.82,Burkitt Lymphoma,"Blood diseases, Immune diseases, Cancer diseases, Genetic diseases, Rare diseases",143,2,"TNF, BMI1",https://www.malacards.org/card/burkitt_lymphoma,,,,
1.81,Respiratory Failure,"Neuronal diseases, Blood diseases, Respiratory diseases, Infectious diseases, Rare diseases",107,2,"CXCL8, TNF",https://www.malacards.org/card/respiratory_failure,,,,
1.81,Tauopathy,Neuronal diseases,109,2,"TNF, PRNP",https://www.malacards.org/card/tauopathy,,,,
1.80,Dermatitis,Skin diseases,106,2,"TNF, CXCL8",https://www.malacards.org/card/dermatitis,,,,
1.80,Integumentary System Disease,Skin diseases,112,2,"CXCL8, TNF",https://www.malacards.org/card/integumentary_system_disease,,,,
1.80,Specific Developmental Disorder,Mental diseases,113,2,"TNF, SNAP25",https://www.malacards.org/card/specific_developmental_disorder,,,,
1.79,Pulmonary Hypertension,"Blood diseases, Respiratory diseases, Cardiovascular diseases, Genetic diseases, Rare diseases",156,2,"ADCYAP1, TNF",https://www.malacards.org/card/pulmonary_hypertension,,,,
1.78,Macs Syndrome,"Neuronal diseases, Skin diseases, Eye diseases, Infectious diseases, Genetic diseases, Rare diseases, Fetal diseases",100,2,"TNF, CXCL8",https://www.malacards.org/card/macs_syndrome,,,,
1.78,"Pulmonary Disease, Chronic Obstructive",Respiratory diseases,111,2,"CXCL8, TNF",https://www.malacards.org/card/pulmonary_disease_chronic_obstructive,,,,
1.78,Frontotemporal Dementia,"Neuronal diseases, Oral diseases, Mental diseases, Genetic diseases, Rare diseases",161,2,"TBK1, PRNP",https://www.malacards.org/card/frontotemporal_dementia,,,,
1.77,Limited Scleroderma,"Bone diseases, Nephrological diseases, Skin diseases, Immune diseases, Respiratory diseases, Rare diseases",54,1,CCN2,https://www.malacards.org/card/limited_scleroderma,Risk factor,CCN2,,
1.76,Neutropenia,"Bone diseases, Neuronal diseases, Blood diseases, Endocrine diseases, Immune diseases, Respiratory diseases, Cancer diseases, Infectious diseases, Genetic diseases, Rare diseases",120,2,"TNF, CXCL8",https://www.malacards.org/card/neutropenia,,,,
1.76,Aicardi-Goutieres Syndrome,"Bone diseases, Neuronal diseases, Blood diseases, Liver diseases, Immune diseases, Genetic diseases, Rare diseases",123,2,"TNF, TBK1",https://www.malacards.org/card/aicardi_goutieres_syndrome,,,,
1.76,Bilirubin Metabolic Disorder,"Blood diseases, Metabolic diseases, Genetic diseases",126,2,"TNF, CXCL8",https://www.malacards.org/card/bilirubin_metabolic_disorder,,,,
1.76,Achromatopsia,"Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",80,1,CABP4,https://www.malacards.org/card/achromatopsia,Causative mutation,CABP4,,
1.76,Pancreatic Ductal Adenocarcinoma,"Endocrine diseases, Cancer diseases",514,3,"CXCL8, REG3A, GREM1",https://www.malacards.org/card/pancreatic_ductal_adenocarcinoma,,,Pancreas,"CXCL8, GREM1, REG3A"
1.75,Glial Tumor,"Neuronal diseases, Cancer diseases, Rare diseases",86,2,"TNF, MMP2",https://www.malacards.org/card/glial_tumor,,,,
1.75,Hepatoblastoma,"Bone diseases, Gastrointestinal diseases, Liver diseases, Cancer diseases, Genetic diseases, Rare diseases",111,2,"CDH1, TNF",https://www.malacards.org/card/hepatoblastoma,,,,
1.75,"Hemochromatosis, Type 1","Liver diseases, Skin diseases, Endocrine diseases, Cardiovascular diseases, Metabolic diseases, Genetic diseases, Rare diseases",129,2,"GTPBP1, TNF",https://www.malacards.org/card/hemochromatosis_type_1_2,,,,
1.75,Angelman Syndrome,"Neuronal diseases, Mental diseases, Genetic diseases, Rare diseases, Fetal diseases",131,2,"NIPAL1, TCF4",https://www.malacards.org/card/angelman_syndrome,,,,
1.75,Blood Platelet Disease,"Bone diseases, Blood diseases, Immune diseases",134,2,"TNF, CXCL8",https://www.malacards.org/card/blood_platelet_disease,,,,
1.74,Autosomal Dominant Non-Syndromic Intellectual Disability,"Neuronal diseases, Rare diseases",51,1,TCF4,https://www.malacards.org/card/autosomal_dominant_non_syndromic_intellectual_disability,Causative mutation,TCF4,,
1.74,Hereditary Ataxia,"Neuronal diseases, Eye diseases, Rare diseases",141,2,"PRNP, NOTCH2NLA",https://www.malacards.org/card/hereditary_ataxia,,,,
1.74,Psychotic Disorder,"Neuronal diseases, Mental diseases",143,2,"TNF, SNAP25",https://www.malacards.org/card/psychotic_disorder,,,,
1.73,"Blood Group, Globoside System","Neuronal diseases, Blood diseases, Eye diseases, Genetic diseases",120,2,"TNF, CXCL8",https://www.malacards.org/card/blood_group_globoside_system,,,,
1.73,Conn'S Syndrome,"Endocrine diseases, Reproductive diseases, Cancer diseases, Rare diseases",141,2,"TNF, SLC9A3",https://www.malacards.org/card/conns_syndrome,,,,
1.73,Nasopharyngeal Carcinoma,"Gastrointestinal diseases, Oral diseases, Respiratory diseases, Cancer diseases, Genetic diseases, Rare diseases",185,2,"CXCL8, CDH1",https://www.malacards.org/card/nasopharyngeal_carcinoma,,,,
1.72,"Melanoma, Uveal","Neuronal diseases, Liver diseases, Skin diseases, Eye diseases, Cancer diseases, Genetic diseases, Rare diseases",144,2,"MMP2, CDH1",https://www.malacards.org/card/melanoma_uveal,,,,
1.72,Alcohol Dependence,"Mental diseases, Cancer diseases, Genetic diseases",146,2,"GABRB1, TNF",https://www.malacards.org/card/alcohol_dependence,,,,
1.72,"Muscular Dystrophy-Dystroglycanopathy  , Type C, 5","Neuronal diseases, Mental diseases, Muscle diseases, Eye diseases, Respiratory diseases, Cardiovascular diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",174,2,"IGFBP5, CCN2",https://www.malacards.org/card/muscular_dystrophy_dystroglycanopathy_limb_girdle_type_c_5,,,Skeletal Muscle,"CCN2, IGFBP5"
