Score,Name,Disease categories,# Total Genes,# Matched Genes,Matched Genes (Symbols),Evidence URL,Genetic Associations,Matched Genes for Genetic Associations,Diferentially Expressed Genes in Tissue Samples,Genes Matched to Differentially Expressed Genes
1.91,"Albinism, Ocular, Type I","Neuronal diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases",48,1,TYRP1,https://www.malacards.org/card/albinism_ocular_type_i,Causative mutation,TYRP1,,
1.91,Hepatitis C Virus,"Gastrointestinal diseases, Liver diseases, Immune diseases, Blood diseases, Oral diseases, Genetic diseases, Rare diseases, Cancer diseases, Infectious diseases",452,3,"DNAJB14, CFAP68, EGFR",https://www.malacards.org/card/hepatitis_c_virus,,,Liver,"CFAP68, DNAJB14"
1.90,Hypertrichosis,"Skin diseases, Rare diseases",72,2,"MMP2, KCNJ8",https://www.malacards.org/card/hypertrichosis,,,,
1.90,Shwachman-Diamond Syndrome 1,"Gastrointestinal diseases, Bone diseases, Endocrine diseases, Blood diseases, Neuronal diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",75,2,"TERT, FANCA",https://www.malacards.org/card/shwachman_diamond_syndrome_1,,,,
1.90,Bile Duct Adenocarcinoma,"Gastrointestinal diseases, Liver diseases, Cancer diseases",78,2,"EGFR, PIK3CB",https://www.malacards.org/card/bile_duct_adenocarcinoma,,,,
1.90,Malignant Ovarian Surface Epithelial-Stromal Neoplasm,"Reproductive diseases, Endocrine diseases, Cancer diseases",79,2,"PIK3CB, EGFR",https://www.malacards.org/card/malignant_ovarian_surface_epithelial_stromal_neoplasm,,,,
1.90,"Dyskeratosis Congenita, X-Linked","Skin diseases, Genetic diseases, Rare diseases",51,1,TERT,https://www.malacards.org/card/dyskeratosis_congenita_x_linked_2,Causative mutation,TERT,,
1.90,Pancytopenia,Blood diseases,105,2,"FANCA, TERT",https://www.malacards.org/card/pancytopenia,,,,
1.89,Tobacco Addiction,"Mental diseases, Genetic diseases",78,2,"CYP1A1, NRXN1",https://www.malacards.org/card/tobacco_addiction,,,,
1.89,Keratoconus,"Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",103,2,"MMP9, MMP2",https://www.malacards.org/card/keratoconus,,,,
1.89,Systemic-Onset Juvenile Idiopathic Arthritis,"Liver diseases, Bone diseases, Immune diseases, Respiratory diseases, Rare diseases",220,2,"MMP9, OLAH",https://www.malacards.org/card/systemic_onset_juvenile_idiopathic_arthritis_2,,,Blood,"MMP9, OLAH"
1.88,Juvenile Nephronophthisis,"Nephrological diseases, Liver diseases, Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",31,1,RMND1,https://www.malacards.org/card/juvenile_nephronophthisis,Causative mutation,RMND1,,
1.88,Prostate Adenocarcinoma,"Reproductive diseases, Cancer diseases",67,2,"PIK3CB, EGFR",https://www.malacards.org/card/prostate_adenocarcinoma,,,,
1.88,Gallbladder Disease,"Gastrointestinal diseases, Nephrological diseases, Liver diseases, Metabolic diseases, Genetic diseases, Rare diseases",83,2,"EGFR, PIK3CB",https://www.malacards.org/card/gallbladder_disease,,,,
1.87,Paraganglioma,"Endocrine diseases, Ear diseases, Genetic diseases, Cancer diseases",84,2,"MMP2, EGFR",https://www.malacards.org/card/paraganglioma,,,,
1.87,Focal Epilepsy,Neuronal diseases,54,1,SNAP25,https://www.malacards.org/card/focal_epilepsy,Causative mutation,SNAP25,,
1.87,Leukemia,"Bone diseases, Immune diseases, Blood diseases, Cancer diseases",164,2,"EGFR, MLLT1",https://www.malacards.org/card/leukemia,,,,
1.86,"Aortic Aneurysm, Familial Abdominal, 1","Blood diseases, Cardiovascular diseases, Genetic diseases, Rare diseases",90,2,"MMP2, MMP9",https://www.malacards.org/card/aortic_aneurysm_familial_abdominal_1,,,,
1.86,Autonomic Nervous System Neoplasm,"Neuronal diseases, Cancer diseases",92,2,"PIK3CB, EGFR",https://www.malacards.org/card/autonomic_nervous_system_neoplasm,,,,
1.86,Thyroid Cancer,"Endocrine diseases, Rare diseases, Cancer diseases",108,2,"EGFR, TERT",https://www.malacards.org/card/thyroid_cancer,,,,
1.85,Hemangioma,"Blood diseases, Cardiovascular diseases, Rare diseases, Cancer diseases, Fetal diseases",87,2,"MMP9, EGFR",https://www.malacards.org/card/hemangioma,,,,
1.85,Peripheral Nervous System Neoplasm,"Neuronal diseases, Cancer diseases",93,2,"EGFR, PIK3CB",https://www.malacards.org/card/peripheral_nervous_system_neoplasm,,,,
1.85,Cervix Carcinoma,"Reproductive diseases, Cancer diseases",93,2,"EGFR, PIK3CB",https://www.malacards.org/card/cervix_carcinoma,,,,
1.85,Leukocyte Disease,Blood diseases,94,2,"EGFR, PIK3CB",https://www.malacards.org/card/leukocyte_disease,,,,
1.85,Arteriovenous Malformations Of The Brain,"Neuronal diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",49,1,EGFR,https://www.malacards.org/card/arteriovenous_malformations_of_the_brain,Causative mutation,EGFR,,
1.84,Adenoid Cystic Carcinoma,"Gastrointestinal diseases, Immune diseases, Rare diseases, Cancer diseases",83,2,"EGFR, PIN1",https://www.malacards.org/card/adenoid_cystic_carcinoma,,,,
1.84,"Glaucoma, Primary Open Angle","Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",91,2,"MMP2, MMP9",https://www.malacards.org/card/glaucoma_primary_open_angle,,,,
1.84,Aortic Aneurysm,"Blood diseases, Cardiovascular diseases",93,2,"MMP9, MMP2",https://www.malacards.org/card/aortic_aneurysm,,,,
1.83,46 Xx Gonadal Dysgenesis,"Reproductive diseases, Endocrine diseases, Rare diseases, Fetal diseases",89,2,"RMND1, CXorf38",https://www.malacards.org/card/46_xx_gonadal_dysgenesis,,,,
1.82,Phenylketonuria,"Endocrine diseases, Neuronal diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",104,2,"EGFR, PIK3CB",https://www.malacards.org/card/phenylketonuria,,,,
1.82,Lactic Acidosis,Metabolic diseases,143,2,"ISCA2, RMND1",https://www.malacards.org/card/lactic_acidosis,,,,
1.81,Cowden Syndrome,"Gastrointestinal diseases, Skin diseases, Neuronal diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",99,2,"EGFR, PIK3CB",https://www.malacards.org/card/cowden_syndrome,,,,
1.81,Respiratory Failure,"Blood diseases, Neuronal diseases, Respiratory diseases, Rare diseases, Infectious diseases",107,2,"ISCA2, PIK3CB",https://www.malacards.org/card/respiratory_failure,,,,
1.81,"Stroke, Ischemic","Blood diseases, Neuronal diseases, Cardiovascular diseases, Genetic diseases",147,2,"MMP9, PIK3CB",https://www.malacards.org/card/stroke_ischemic,,,Blood,MMP9
1.80,Integumentary System Disease,Skin diseases,112,2,"EGFR, PIK3CB",https://www.malacards.org/card/integumentary_system_disease,,,,
1.80,Specific Developmental Disorder,Mental diseases,113,2,"SNAP25, NRXN1",https://www.malacards.org/card/specific_developmental_disorder,,,,
1.79,Esophagus Squamous Cell Carcinoma,"Gastrointestinal diseases, Skin diseases, Rare diseases, Cancer diseases",47,1,EGFR,https://www.malacards.org/card/esophagus_squamous_cell_carcinoma,Causative mutation,EGFR,,
1.78,"Pulmonary Disease, Chronic Obstructive",Respiratory diseases,111,2,"MMP9, CYP1A1",https://www.malacards.org/card/pulmonary_disease_chronic_obstructive,,,,
1.78,Mantle Cell Lymphoma,"Immune diseases, Blood diseases, Rare diseases, Cancer diseases",118,2,"PIK3CB, EGFR",https://www.malacards.org/card/mantle_cell_lymphoma,,,,
1.77,Vascular Disease,"Blood diseases, Neuronal diseases, Cardiovascular diseases, Rare diseases",174,2,"MMP9, MMP2",https://www.malacards.org/card/vascular_disease,,,,
1.77,Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis 1,"Neuronal diseases, Oral diseases, Mental diseases, Genetic diseases, Rare diseases",352,3,"NRXN1, RNF41, SNAP25",https://www.malacards.org/card/frontotemporal_dementia_and_or_amyotrophic_lateral_sclerosis_1,,,,
1.76,Bilirubin Metabolic Disorder,"Blood diseases, Metabolic diseases, Genetic diseases",126,2,"B3GAT2, EGFR",https://www.malacards.org/card/bilirubin_metabolic_disorder,,,,
1.75,Autosomal Recessive Limb-Girdle Muscular Dystrophy,"Muscle diseases, Neuronal diseases, Oral diseases, Mental diseases, Cardiovascular diseases, Respiratory diseases, Metabolic diseases, Genetic diseases, Rare diseases",120,2,"NRXN1, TRIM63",https://www.malacards.org/card/autosomal_recessive_limb_girdle_muscular_dystrophy,,,,
1.75,Blood Platelet Disease,"Bone diseases, Immune diseases, Blood diseases",134,2,"EGFR, PIK3CB",https://www.malacards.org/card/blood_platelet_disease,,,,
1.74,Autosomal Dominant Non-Syndromic Intellectual Disability,"Neuronal diseases, Rare diseases",51,1,MED12L,https://www.malacards.org/card/autosomal_dominant_non_syndromic_intellectual_disability,Causative mutation,MED12L,,
1.74,Colon Adenocarcinoma,"Gastrointestinal diseases, Cancer diseases",135,2,"CYP1A1, EGFR",https://www.malacards.org/card/colon_adenocarcinoma,,,,
1.74,Psychotic Disorder,"Neuronal diseases, Mental diseases",143,2,"SNAP25, NRXN1",https://www.malacards.org/card/psychotic_disorder,,,,
1.73,Gastrointestinal Stromal Tumor,"Gastrointestinal diseases, Genetic diseases, Rare diseases, Cancer diseases",138,2,"EGFR, PIK3CB",https://www.malacards.org/card/gastrointestinal_stromal_tumor,,,,
1.73,Muscular Atrophy,"Bone diseases, Muscle diseases, Neuronal diseases, Rare diseases",142,2,"GEMIN8, TRIM63",https://www.malacards.org/card/muscular_atrophy,,,,
1.72,Malignant Astrocytoma,"Neuronal diseases, Cancer diseases",152,2,"EGFR, PIK3CB",https://www.malacards.org/card/malignant_astrocytoma,,,,
1.71,Aortic Valve Disease 1,"Blood diseases, Cardiovascular diseases, Respiratory diseases, Genetic diseases, Rare diseases, Fetal diseases",151,2,"MMP9, MMP2",https://www.malacards.org/card/aortic_valve_disease_1,,,,
1.68,Pre-Eclampsia,"Liver diseases, Reproductive diseases, Blood diseases, Mental diseases, Eye diseases, Cardiovascular diseases, Rare diseases, Fetal diseases",164,2,"MMP9, MMP2",https://www.malacards.org/card/pre_eclampsia,,,,
1.68,Colorectal Adenoma,"Gastrointestinal diseases, Endocrine diseases, Cancer diseases",391,3,"EGFR, NRXN1, WWC1",https://www.malacards.org/card/colorectal_adenoma,,,Colon,"NRXN1, WWC1"
1.67,Pitt-Hopkins-Like Syndrome,"Muscle diseases, Neuronal diseases, Mental diseases, Genetic diseases, Rare diseases, Fetal diseases",2,1,NRXN1,https://www.malacards.org/card/pitt_hopkins_like_syndrome,,,,
1.67,Osteogenic Sarcoma,"Bone diseases, Genetic diseases, Rare diseases, Cancer diseases",146,2,"MMP9, MMP2",https://www.malacards.org/card/osteogenic_sarcoma,,,,
1.67,Hypertelorism,Eye diseases,82,1,MLLT1,https://www.malacards.org/card/hypertelorism,Causative mutation,MLLT1,,
1.67,Pontocerebellar Hypoplasia,"Muscle diseases, Blood diseases, Neuronal diseases, Mental diseases, Eye diseases, Respiratory diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",110,1,VPS53,https://www.malacards.org/card/pontocerebellar_hypoplasia,Causative mutation,VPS53,,
1.67,Attention Deficit-Hyperactivity Disorder,"Neuronal diseases, Oral diseases, Mental diseases, Genetic diseases",273,2,"NRXN1, SNAP25",https://www.malacards.org/card/attention_deficit_hyperactivity_disorder_2,,,,
1.67,Asthma,"Mental diseases, Respiratory diseases, Genetic diseases, Rare diseases",388,2,"MMP9, ADORA2B",https://www.malacards.org/card/asthma,,,,
1.66,Hereditary Breast Ovarian Cancer Syndrome,"Reproductive diseases, Genetic diseases, Rare diseases, Cancer diseases",160,2,"FANCA, EGFR",https://www.malacards.org/card/hereditary_breast_ovarian_cancer_syndrome,,,,
1.66,Long Qt Syndrome,"Muscle diseases, Blood diseases, Cardiovascular diseases, Ear diseases, Genetic diseases, Rare diseases",172,2,"GOLGA2, KCNJ8",https://www.malacards.org/card/long_qt_syndrome,,,,
1.66,Rasopathy,Rare diseases,185,2,"EGFR, PIK3CB",https://www.malacards.org/card/rasopathy,,,,
1.66,Uterine Corpus Cancer,"Reproductive diseases, Cancer diseases",194,2,"EGFR, PIK3CB",https://www.malacards.org/card/uterine_corpus_cancer,,,,
1.65,Myopia,"Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",191,2,"MMP9, MMP2",https://www.malacards.org/card/myopia,,,,
1.64,Congenital Methemoglobinemia,"Skin diseases, Blood diseases, Neuronal diseases, Genetic diseases, Rare diseases",7,1,CYB5A,https://www.malacards.org/card/congenital_methemoglobinemia,Unconfirmed association,CYB5A,,
1.64,Hirschsprung Disease 1,"Gastrointestinal diseases, Muscle diseases, Neuronal diseases, Genetic diseases, Rare diseases, Fetal diseases",192,2,"NRXN1, PIK3CB",https://www.malacards.org/card/hirschsprung_disease_1,,,,
1.64,Tetralogy Of Fallot,"Blood diseases, Cardiovascular diseases, Respiratory diseases, Genetic diseases, Rare diseases, Fetal diseases",204,2,"MMP9, CCDC39",https://www.malacards.org/card/tetralogy_of_fallot,,,,
1.63,Mitochondrial Disease,"Muscle diseases, Neuronal diseases, Respiratory diseases, Metabolic diseases, Rare diseases",89,1,RMND1,https://www.malacards.org/card/mitochondrial_disease,Causative mutation,RMND1,,
1.63,Usher Syndrome,"Eye diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",203,2,"GRK7, SLC7A14",https://www.malacards.org/card/usher_syndrome,,,,
1.63,Noonan Syndrome 1,"Nephrological diseases, Skin diseases, Bone diseases, Reproductive diseases, Endocrine diseases, Neuronal diseases, Mental diseases, Eye diseases, Cardiovascular diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",213,2,"PIK3CB, EGFR",https://www.malacards.org/card/noonan_syndrome_1,,,,
1.62,Agammaglobulinemia,"Immune diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases, Infectious diseases",171,2,"HS3ST1, TXK",https://www.malacards.org/card/agammaglobulinemia,,,Blood,HS3ST1
1.62,Renal Oncocytoma,"Nephrological diseases, Genetic diseases, Rare diseases, Cancer diseases",334,3,"BHMT2, TYRP1, WWC1",https://www.malacards.org/card/renal_oncocytoma,,,Kidney,"BHMT2, TYRP1, WWC1"
1.62,Migraine With Or Without Aura 1,"Blood diseases, Neuronal diseases, Eye diseases, Genetic diseases",230,2,"MMP9, SNAP25",https://www.malacards.org/card/migraine_with_or_without_aura_1,,,,
1.61,Muscular Dystrophy,"Muscle diseases, Neuronal diseases, Oral diseases, Cardiovascular diseases, Respiratory diseases, Genetic diseases, Rare diseases",225,2,"MMP2, MMP9",https://www.malacards.org/card/muscular_dystrophy,,,,
1.61,Myotonic Dystrophy 2,"Muscle diseases, Reproductive diseases, Endocrine diseases, Neuronal diseases, Oral diseases, Eye diseases, Genetic diseases, Rare diseases, Fetal diseases",350,3,"METTL22, TYRP1, WSB1",https://www.malacards.org/card/myotonic_dystrophy_2,,,Skeletal Muscle,"METTL22, TYRP1, WSB1"
1.60,Scoliosis,"Bone diseases, Rare diseases",239,2,"MMP9, PTK7",https://www.malacards.org/card/scoliosis,,,,
1.60,"Leukemia, Chronic Myeloid","Immune diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",253,2,"EGFR, PIK3CB",https://www.malacards.org/card/leukemia_chronic_myeloid,,,,
1.60,Alzheimer'S Disease,"Neuronal diseases, Oral diseases, Mental diseases, Cardiovascular diseases, Genetic diseases, Rare diseases",544,2,"PIN1, SNAP25",https://www.malacards.org/card/alzheimers_disease,,,,
1.57,Diffuse Large B-Cell Lymphoma,"Immune diseases, Blood diseases, Rare diseases, Cancer diseases",279,2,"EGFR, PIK3CB",https://www.malacards.org/card/diffuse_large_b_cell_lymphoma,,,,
1.57,Nephronophthisis,"Nephrological diseases, Liver diseases, Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",170,1,RMND1,https://www.malacards.org/card/nephronophthisis,Causative mutation,RMND1,,
1.56,Coronary Heart Disease 1,"Cardiovascular diseases, Genetic diseases",155,2,"METTL22, NRXN1",https://www.malacards.org/card/coronary_heart_disease_1,,,Endothelium,"METTL22, NRXN1"
1.56,Cataract,"Nephrological diseases, Neuronal diseases, Oral diseases, Mental diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",295,2,"MMP2, EGFR",https://www.malacards.org/card/cataract,,,,
1.55,Heart Disease,"Mental diseases, Cardiovascular diseases, Respiratory diseases, Genetic diseases, Rare diseases, Fetal diseases",314,2,"MMP9, MMP2",https://www.malacards.org/card/heart_disease,,,,
1.54,Charcot-Marie-Tooth Disease,"Nephrological diseases, Muscle diseases, Neuronal diseases, Eye diseases, Ear diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",311,2,"EGFR, ELOC",https://www.malacards.org/card/charcot_marie_tooth_disease,,,,
1.54,Sensorineural Hearing Loss,"Neuronal diseases, Ear diseases, Rare diseases",314,2,"RMND1, MYO1F",https://www.malacards.org/card/sensorineural_hearing_loss,,,,
1.53,Hypertension,"Nephrological diseases, Reproductive diseases, Blood diseases, Mental diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Cancer diseases",343,2,"MMP2, MMP9",https://www.malacards.org/card/hypertension,,,,
1.53,Neuromuscular Disease,"Muscle diseases, Neuronal diseases, Rare diseases",228,1,GOLGA2,https://www.malacards.org/card/neuromuscular_disease,Causative mutation,GOLGA2,,
1.52,Amyotrophic Lateral Sclerosis 1,"Muscle diseases, Neuronal diseases, Oral diseases, Mental diseases, Respiratory diseases, Genetic diseases, Rare diseases",175,2,"HSPA4L, TRIM63",https://www.malacards.org/card/amyotrophic_lateral_sclerosis_1,,,Skeletal Muscle,"HSPA4L, TRIM63"
1.51,"Leukemia, Chronic Lymphocytic","Immune diseases, Blood diseases, Rare diseases, Cancer diseases",361,2,"EGFR, PIK3CB",https://www.malacards.org/card/leukemia_chronic_lymphocytic,,,,
1.50,Leg Dermatosis,Skin diseases,1,1,SHPK,https://www.malacards.org/card/leg_dermatosis,,,,
1.50,Hyperpigmentation Of Eyelids,"Skin diseases, Eye diseases",1,1,MMP9,https://www.malacards.org/card/hyperpigmentation_of_eyelids,,,,
1.50,Tonsillar Pillar Cancer,"Gastrointestinal diseases, Cancer diseases",2,1,EGFR,https://www.malacards.org/card/tonsillar_pillar_cancer,,,,
1.50,Macular Keratitis,Neuronal diseases,3,1,MMP9,https://www.malacards.org/card/macular_keratitis,,,,
1.50,Prolapse Of Lacrimal Gland,"Endocrine diseases, Neuronal diseases",3,1,MMP9,https://www.malacards.org/card/prolapse_of_lacrimal_gland,,,,
1.50,Signet Ring Lung Adenocarcinoma,"Respiratory diseases, Cancer diseases",3,1,EGFR,https://www.malacards.org/card/signet_ring_lung_adenocarcinoma,,,,
1.50,Aryl Hydrocarbon Hydroxylase Inducibility,,3,1,CYP1A1,https://www.malacards.org/card/aryl_hydrocarbon_hydroxylase_inducibility,,,,
1.50,Ulcer Of Anus And Rectum,Gastrointestinal diseases,4,1,TXK,https://www.malacards.org/card/ulcer_of_anus_and_rectum,,,,
1.50,Dyskeratosis Congenita And Related Telomere Biology Disorders,,4,1,TERT,https://www.malacards.org/card/dyskeratosis_congenita_and_related_telomere_biology_disorders,,,,
1.50,Trichomegaly,"Eye diseases, Genetic diseases",5,1,EGFR,https://www.malacards.org/card/trichomegaly,,,,
1.50,Lateral Ventricle Meningioma,"Neuronal diseases, Cancer diseases",5,1,MMP9,https://www.malacards.org/card/lateral_ventricle_meningioma,,,,
1.50,Monofixation Syndrome,"Neuronal diseases, Eye diseases",5,1,SHPK,https://www.malacards.org/card/monofixation_syndrome,,,,
1.50,Omodysplasia 2,"Bone diseases, Smell/Taste diseases, Genetic diseases, Rare diseases, Fetal diseases",5,1,VPS53,https://www.malacards.org/card/omodysplasia_2,,,,
1.50,Amaurosis Fugax,"Neuronal diseases, Eye diseases, Rare diseases",5,1,MMP9,https://www.malacards.org/card/amaurosis_fugax,,,,
1.50,Sexual Sadism,Mental diseases,6,1,QRFPR,https://www.malacards.org/card/sexual_sadism,,,,
1.50,"Tremor, Hereditary Essential, 2","Muscle diseases, Neuronal diseases, Oral diseases, Metabolic diseases, Genetic diseases, Rare diseases",6,1,RTN2,https://www.malacards.org/card/tremor_hereditary_essential_2_2,,,,
1.50,Nephrogenic Adenoma Of Urinary Bladder,"Nephrological diseases, Cancer diseases",6,1,ZNF12,https://www.malacards.org/card/nephrogenic_adenoma_of_urinary_bladder,,,,
1.50,Neurotrophic Keratoconjunctivitis,Neuronal diseases,6,1,MMP9,https://www.malacards.org/card/neurotrophic_keratoconjunctivitis,,,,
1.50,Axillary Adenitis,Immune diseases,6,1,SPPL2A,https://www.malacards.org/card/axillary_adenitis,,,,
1.50,Nonencapsulated Sclerosing Carcinoma,"Endocrine diseases, Cancer diseases",6,1,TERT,https://www.malacards.org/card/nonencapsulated_sclerosing_carcinoma,,,,
1.50,Senile Ectropion,Skin diseases,6,1,MFAP2,https://www.malacards.org/card/senile_ectropion,,,,
1.50,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2z,"Muscle diseases, Neuronal diseases, Oral diseases, Mental diseases, Cardiovascular diseases, Respiratory diseases, Metabolic diseases, Genetic diseases, Rare diseases",6,1,GXYLT1,https://www.malacards.org/card/autosomal_recessive_limb_girdle_muscular_dystrophy_type_2z,,,,
1.50,"Congenital Disorder Of Glycosylation, Type Iy","Gastrointestinal diseases, Nephrological diseases, Liver diseases, Skin diseases, Bone diseases, Muscle diseases, Reproductive diseases, Endocrine diseases, Immune diseases, Blood diseases, Neuronal diseases, Oral diseases, Mental diseases, Eye diseases, Cardiovascular diseases, Ear diseases, Metabolic diseases, Genetic diseases, Rare diseases, Infectious diseases, Fetal diseases",6,1,TMED7,https://www.malacards.org/card/congenital_disorder_of_glycosylation_type_iy,,,,
1.50,"Deafness, Autosomal Recessive 62","Neuronal diseases, Cardiovascular diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",6,1,WSB1,https://www.malacards.org/card/deafness_autosomal_recessive_62,,,,
1.50,Combined Oxidative Phosphorylation Deficiency 40,"Metabolic diseases, Genetic diseases, Rare diseases",6,1,ISCA2,https://www.malacards.org/card/combined_oxidative_phosphorylation_deficiency_40,,,,
1.50,Nephronophthisis 13,"Nephrological diseases, Liver diseases, Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",6,1,NFATC2IP,https://www.malacards.org/card/nephronophthisis_13,,,,
1.50,Adult Spinal Cord Glioblastoma Multiforme,"Neuronal diseases, Cancer diseases",6,1,TERT,https://www.malacards.org/card/adult_spinal_cord_glioblastoma_multiforme,,,,
1.50,Nasal Cavity Lymphoma,"Immune diseases, Blood diseases, Respiratory diseases, Cancer diseases",6,1,CCDC39,https://www.malacards.org/card/nasal_cavity_lymphoma,,,,
1.50,Subacute Glomerulonephritis,"Nephrological diseases, Immune diseases, Blood diseases, Rare diseases",6,1,CYP1A1,https://www.malacards.org/card/subacute_glomerulonephritis,,,,
1.50,Cecum Adenoma,"Gastrointestinal diseases, Cancer diseases",7,1,TERT,https://www.malacards.org/card/cecum_adenoma,,,,
1.50,Tungiasis,"Skin diseases, Rare diseases, Infectious diseases",7,1,DNAL1,https://www.malacards.org/card/tungiasis,,,,
1.50,Paraneoplastic Polyneuropathy,Neuronal diseases,7,1,BHMT2,https://www.malacards.org/card/paraneoplastic_polyneuropathy,,,,
1.50,Bladder Benign Neoplasm,"Nephrological diseases, Cancer diseases",7,1,ZNF12,https://www.malacards.org/card/bladder_benign_neoplasm,,,,
1.50,Congenital Nystagmus 1,"Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",7,1,ESYT1,https://www.malacards.org/card/congenital_nystagmus_1,,,,
1.50,Cecal Benign Neoplasm,"Gastrointestinal diseases, Cancer diseases",7,1,TERT,https://www.malacards.org/card/cecal_benign_neoplasm,,,,
1.50,Disseminated Chorioretinitis,Neuronal diseases,7,1,GRK7,https://www.malacards.org/card/disseminated_chorioretinitis,,,,
1.50,Central Nervous System Hemangioma,"Neuronal diseases, Cardiovascular diseases, Cancer diseases",7,1,ELOC,https://www.malacards.org/card/central_nervous_system_hemangioma,,,,
1.50,Leber Plus Disease,"Neuronal diseases, Eye diseases, Metabolic diseases, Rare diseases",373,2,"SLC7A14, GRK7",https://www.malacards.org/card/leber_plus_disease_2,,,,
1.48,Myopathy,"Nephrological diseases, Bone diseases, Muscle diseases, Neuronal diseases, Oral diseases, Respiratory diseases, Metabolic diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",459,2,"GOLGA2, TRIM63",https://www.malacards.org/card/myopathy,,,,
1.48,Multiple Sclerosis,"Immune diseases, Neuronal diseases, Genetic diseases, Rare diseases",565,2,"NRXN1, MMP9",https://www.malacards.org/card/multiple_sclerosis,,,Spinal Cord,NRXN1
1.47,Kidney Clear Cell Sarcoma,"Nephrological diseases, Rare diseases, Cancer diseases",29,1,TERT,https://www.malacards.org/card/kidney_clear_cell_sarcoma,Structural gene variation,TERT,,
1.46,"Fanconi Anemia, Complementation Group L","Nephrological diseases, Skin diseases, Bone diseases, Immune diseases, Blood diseases, Neuronal diseases, Mental diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",7,1,FANCA,https://www.malacards.org/card/fanconi_anemia_complementation_group_l,,,,
1.46,Cone-Rod Dystrophy 15,"Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",7,1,GRK7,https://www.malacards.org/card/cone_rod_dystrophy_15,,,,
1.46,Complement Component 4a Deficiency,"Immune diseases, Genetic diseases",7,1,BHMT2,https://www.malacards.org/card/complement_component_4a_deficiency,,,,
1.46,Cranioectodermal Dysplasia 4,"Nephrological diseases, Skin diseases, Bone diseases, Eye diseases, Respiratory diseases, Genetic diseases, Rare diseases, Fetal diseases",7,1,NFATC2IP,https://www.malacards.org/card/cranioectodermal_dysplasia_4,,,,
1.46,"Pontocerebellar Hypoplasia, Type 2f","Muscle diseases, Blood diseases, Neuronal diseases, Mental diseases, Eye diseases, Respiratory diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",7,1,VPS53,https://www.malacards.org/card/pontocerebellar_hypoplasia_type_2f,,,,
1.46,Mandibuloacral Dysplasia,"Skin diseases, Bone diseases, Endocrine diseases, Oral diseases, Eye diseases, Rare diseases, Fetal diseases",7,1,MMP9,https://www.malacards.org/card/mandibuloacral_dysplasia,,,,
1.46,Progressive Myoclonus Epilepsy 10,"Nephrological diseases, Neuronal diseases, Genetic diseases, Rare diseases",7,1,QRFPR,https://www.malacards.org/card/progressive_myoclonus_epilepsy_10,,,,
1.46,Meier-Gorlin Syndrome 4,"Bone diseases, Neuronal diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",7,1,GRK7,https://www.malacards.org/card/meier_gorlin_syndrome_4,,,,
1.46,Clivus Meningioma,"Bone diseases, Neuronal diseases, Cancer diseases",8,1,TERT,https://www.malacards.org/card/clivus_meningioma,,,,
1.46,Cervical Intraepithelial Neoplasia,"Rare diseases, Cancer diseases",8,1,TERT,https://www.malacards.org/card/cervical_intraepithelial_neoplasia,,,,
1.46,Autosomal Dominant Nonsyndromic Deafness 74,"Neuronal diseases, Cardiovascular diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",8,1,MYO1F,https://www.malacards.org/card/autosomal_dominant_nonsyndromic_deafness_74,,,,
1.46,Tuberculous Empyema,Respiratory diseases,8,1,NFATC2IP,https://www.malacards.org/card/tuberculous_empyema,,,,
